Country Name,2015 Dgghe(% of GDP),2016 Dgghe(% of GDP),2017 Dgghe(% of GDP)
Czech Republic,5.95593340694904,5.85397146642208,5.91153986752033
Denmark,8.60955566167831,8.56470018625259,8.4933839738369
Djibouti,2.39751469343901,1.83323062956333,1.56038142740726
Dominica,3.57377827167511,3.40772643685341,3.8178164511919
Dominican Republic,2.4489575996995,2.78766825795174,2.82288156449795
Early-demographic dividend,2.65323931552041,2.54669478443233,2.54884506073728
East Asia & Pacific,4.43961852968718,4.50450992162992,4.4569718752155
East Asia & Pacific (excluding high income),2.74428201645191,2.7133242693934,2.74130553311066
East Asia & Pacific (IDA & IBRD countries),2.74430338552349,2.71340197206777,2.74137041611168
Ecuador,4.24113981425762,4.23661135137081,4.36164624989033
"Egypt, Arab Rep.",1.66732966899872,1.65568366646767,1.74466855823994
El Salvador,4.90629933774471,4.9752201884985,4.60725240409374
Equatorial Guinea,0.554393697530031,0.694485800340772,0.585146900266409
Eritrea,0.357863819226623,0.864676851779222,0.782054383307695
Estonia,4.81163859367371,4.9048438668251,4.8007395118475
Eswatini,2.97600869089365,2.84486804157496,3.51684242486954
Ethiopia,0.965407583862543,0.915685947984457,0.873719155788422
Euro area,7.60344619763763,7.60831566345939,7.57141688322611
Europe & Central Asia,6.77588478031441,6.81896602092541,6.74315971845611
Europe & Central Asia (excluding high income),3.12882831362192,3.16464386775328,3.14908663961282
Europe & Central Asia (IDA & IBRD countries),3.33641040405614,3.3833321660448,3.36843004145475
European Union,7.45415528110177,7.46071063403399,7.42017145304234
Faroe Islands,..,..,..
Fiji,2.25259624421597,2.25881859660149,2.31857448816299
Finland,7.53038823604584,7.21427500247955,7.06586241722107
Fragile and conflict affected situations,1.04034897725318,0.98213459822047,1.20994162577573
France,8.78708064556122,8.82424414157867,8.72132927179337
French Polynesia,..,..,..
Gabon,1.5654930844903,2.01055016368628,1.7597995698452
"Gambia, The",0.533934589475393,0.608550058677793,0.751360645517707
Georgia,2.82151401042938,3.08560337871313,2.82902214676142
Germany,8.52974578738213,8.59780013561249,8.73427838087082
Ghana,1.62140037864447,1.32770715281367,1.09192850068212
Gibraltar,..,..,..
Greece,4.6418122947216,5.0065740942955,4.83915023505688
Greenland,..,..,..
Grenada,1.94827988743782,2.16370187699795,2.03113183379173
Guam,..,..,..
Guatemala,2.21519265323877,2.18774918466806,2.08395887166262
Guinea,0.42931204661727,0.656833127140999,0.708300480619073
Guinea-Bissau,0.65731406211853,0.580089632421732,0.593177601695061
Guyana,2.25499663501978,3.2390795648098,2.96171791851521
Haiti,0.953605864197016,0.929698813706636,0.95270462334156
Heavily indebted poor countries (HIPC),1.63604245591564,1.57513001065818,1.4868739760737
High income,7.68633855907302,7.76235836866474,7.70791707110177
Honduras,2.97368615865707,3.37715968489647,3.15048806369305
"Hong Kong SAR, China",..,..,..
Hungary,4.72529493272305,4.82919625937939,4.72910590469837
IBRD only,2.95709191044467,2.91174915847817,2.95672403053337
Iceland,6.58894777297974,6.62403330206871,6.81328549981117
IDA & IBRD total,2.82695053492544,2.78867832849245,2.83428106946046
IDA blend,1.07246523394762,1.09887826688248,1.1194945790778
IDA only,1.27008890176901,1.20412823187769,1.14599388053351
IDA total,1.16838622659012,1.15206900334315,1.13365213758006
India,0.921931862831116,0.942292157560587,0.95910569652915
Indonesia,1.21300937607884,1.39818182215095,1.44590092822909
"Iran, Islamic Rep.",4.04194071888924,4.48380336165428,4.43784445524216
Iraq,0.730382045730948,0.70358132943511,1.74417365342379
Ireland,5.28338998556137,5.35069033503532,5.26579618453979
Isle of Man,..,..,..
Israel,4.49866466224194,4.65452149510384,4.71300445497036
Italy,6.70437514781952,6.62719905376434,6.53272047638893
Jamaica,3.58033962547779,3.67196351289749,3.8744006305933
Japan,9.1528594493866,9.09747257828712,9.19630154967308
Jordan,4.06537801027298,3.53419594466686,3.63746806979179
Kazakhstan,1.92649569362402,2.05863378942013,1.94026026874781
Kenya,2.10761204361916,2.1484300494194,2.05257199704647
Kiribati,6.80701732635498,7.41373971104622,8.15397202968597
"Korea, Dem. People’s Rep.",..,..,..
"Korea, Rep.",4.03825864195824,4.21722047030926,4.36290092766285
Kosovo,..,..,..
Kuwait,3.37655544281006,3.33598554134369,4.62386049330235
Kyrgyz Republic,2.71162800490856,2.4972340092063,2.34767459332943
Lao PDR,0.86391307413578,0.764948409050703,0.888554286211729
Late-demographic dividend,3.16558807326792,3.15582038303941,3.18237206627156
Latin America & Caribbean,4.19673653247644,4.09810447169277,4.2029514731086
Latin America & Caribbean (excluding high income),4.1957367617206,4.06315972912579,4.16563613395679
Latin America & the Caribbean (IDA & IBRD countries),4.06920789722438,3.97017916124932,4.09312655618324
Latvia,3.35110984742641,3.47076617181301,3.40323522686958
Least developed countries: UN classification,1.12995791910944,1.03361352721949,1.01911169984675
Lebanon,3.81750725209713,3.88812832534313,4.09953109920025
Lesotho,5.43712377548218,5.1533866673708,5.51380552351475
Liberia,1.17829358205199,1.38423163443804,1.40308914706111
Libya,..,..,..
Liechtenstein,..,..,..
Lithuania,4.27927561104298,4.36917580664158,4.22698482871056
Low & middle income,2.80096980329799,2.75520911390701,2.79705391176652
Low income,1.06830262150811,1.22726565610467,1.25026602021947
Lower middle income,1.26398368377085,1.29031143265323,1.29370880445808
Luxembourg,4.64531406760216,4.63951118290424,4.65104691684246
"Macao SAR, China",..,..,..
Madagascar,2.32247859239578,2.81872302293777,2.57938224822283
Malawi,2.67399307340384,2.71862465888262,2.95680090785027
Malaysia,2.06788498908281,1.91762484610081,1.95242054760456
Maldives,6.26598075032234,7.36714452505112,6.45244047045708
Mali,0.919273775070906,1.20928268879652,1.325374096632
Malta,5.6023858487606,5.76285272836685,5.89119866490364
Marshall Islands,6.58539980649948,7.056575268507,6.20333068072796
Mauritania,1.81572716683149,1.64176989346743,1.70846786350012
Mauritius,2.37549059092999,2.51740347594023,2.45145745575428
Mexico,3.07731926441193,2.94239781796932,2.84170582890511
"Micronesia, Fed. Sts.",3.22494320571423,3.41301932930946,3.18783111870289
Middle East & North Africa,3.29359564612599,3.3267246417085,3.34535151779292
Middle East & North Africa (excluding high income),2.84827436305997,3.0237326418177,3.27482614909634
Middle East & North Africa (IDA & IBRD countries),2.84827436305997,3.0237326418177,3.27482614909634
Middle income,2.82726825363392,2.77597118526279,2.81782455112029
Moldova,3.89704294502735,3.6767914891243,3.5497460514307
Monaco,1.64066236466169,1.39212412759662,1.41291478648782
Mongolia,2.38928589969873,2.62486673891544,2.4689519777894
Montenegro,..,..,..
Morocco,2.10449676960707,2.22653280943632,2.25047077983618
Mozambique,1.64327621459961,1.51688205078244,1.47562064230442
Myanmar,1.14297075197101,0.669443886727095,0.689848139882088
Namibia,4.09861281514168,4.15503829717636,3.94567362964153
Nauru,7.2164386510849,9.50277969241142,7.92759135365486
Nepal,1.03455595672131,1.16649949923158,1.24062346294522
Netherlands,6.71774819493294,6.67662397027016,6.50473237037659
New Caledonia,..,..,..
New Zealand,6.96766451001167,6.92768841981888,6.91932514309883
Nicaragua,4.44835871458054,5.26689030230045,5.02174384891987
Niger,1.48385614156723,1.49731812998652,2.58716978132725
Nigeria,0.589078431949019,0.474969344213605,0.532657699659467
North America,8.45309235257276,8.56667547016287,8.49811301642758
North Macedonia,4.11930158734322,4.06073369085789,4.08303588628769
Northern Mariana Islands,..,..,..
Norway,8.64457860589027,8.98148193955421,8.92880782485008
Not classified,..,..,..
OECD members,7.67014126767574,7.75612875015196,7.70988058970129
Oman,3.84881794452667,3.84567901492119,3.37728224694729
Other small states,3.13187545442624,3.17258414198761,3.02303511121133
Pacific island small states,2.97228428560255,3.10181783161596,3.04074477740041
Pakistan,0.740020535886288,0.820467155426741,0.915535353124142
Palau,3.75053286552429,6.19206465780735,6.05499669909477
Panama,4.25106473267078,4.75000813603401,4.38573360443115
Papua New Guinea,1.45024489611387,1.83060206472874,1.86214372515678
Paraguay,3.16071361303329,3.15105952322483,3.02581451833248
Peru,3.11211012303829,3.17831113934517,3.16451340913773
Philippines,1.36068351566792,1.39750596135855,1.41886975616217
Poland,4.43582683801651,4.50230836868286,4.51180674135685
Portugal,5.93130327761173,5.98781257867813,5.9428621083498
Post-demographic dividend,7.92572288015432,8.00000922763074,7.9571699476441
Pre-demographic dividend,1.01977686224487,0.973203220934415,1.1576665492854
Puerto Rico,..,..,..
Qatar,2.65964400023222,2.52588707953691,2.10516639053822
Romania,3.85243743658066,3.90427634119987,4.0533933788538
Russian Federation,3.10924630612135,2.99868602305651,3.05115282535553
Rwanda,2.16890722513199,2.29062587022781,2.25612297654152
Samoa,4.4892817735672,4.22545000910759,4.08721677958965
San Marino,5.8658130466938,5.47852292656899,6.01250529289246
Sao Tome and Principe,1.70344356447458,2.54364721477032,2.84106228500605
Saudi Arabia,4.10729944705963,3.89302894473076,3.35191413760185
Senegal,1.07820704579353,1.07102962210774,0.867270026355982
Serbia,5.08739054203033,4.99077364802361,4.78330999612808
Seychelles,3.24531085789204,3.58105972409248,3.657141700387
Sierra Leone,1.64069067686796,1.84638984501362,1.84365287423134
Singapore,1.97937078773975,2.09372974932194,2.14045811444521
Sint Maarten (Dutch part),..,..,..
Slovak Republic,5.39846532046795,5.66037446260452,5.3335927426815
Slovenia,6.06220252811909,6.13077729940414,5.87911084294319
Small states,3.12514648844198,3.19806772065904,3.06684253304189
Solomon Islands,3.5014770925045,3.57971005141735,3.33397313952446
Somalia,..,..,..
South Africa,4.39194664359093,4.35684099793434,4.35276962816715
South Asia,0.899385012087768,0.918690931530566,0.938495999535042
South Asia (IDA & IBRD),0.899385012087769,0.918690931530566,0.938495999535041
South Sudan,..,..,0.82402266561985
Spain,6.48763105273247,6.37787207961082,6.26586750149727
Sri Lanka,1.70994289219379,1.6788212582469,1.63696836680174
St. Kitts and Nevis,1.98231190443039,2.29721814393997,2.34724264591932
St. Lucia,2.19420902431011,2.16912124305964,2.22526714205742
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,2.6293845847249,2.73222532123327,2.88701932877302
Sub-Saharan Africa,1.83167333146943,1.79817446701737,1.87378897233301
Sub-Saharan Africa (excluding high income),1.83049013779804,1.79652095984561,1.87218611553835
Sub-Saharan Africa (IDA & IBRD countries),1.83167333146943,1.79817446701737,1.87378897233301
Sudan,2.23681330680847,1.50625910609961,1.14202881231904
Suriname,3.38823460042477,3.88742387294769,3.64815592765808
Sweden,9.17020216584206,9.15362611413002,9.2221312224865
Switzerland,3.61692234873772,3.63041572272778,3.76474261283875
Syrian Arab Republic,..,..,..
Tajikistan,2.04495675861835,2.00143195688725,2.09663957357407
Tanzania,1.25723863020539,1.61012709140778,1.5766391530633
Thailand,2.74870563298464,2.85838320851326,2.85175293684006
Timor-Leste,2.26288661360741,2.24196743220091,2.5619076564908
Togo,1.27388061955571,1.31996413692832,1.09466044232249
Tonga,2.69530899822712,2.98941358923912,3.07420920580626
Trinidad and Tobago,3.10892518609762,3.53033319115639,3.71267274022102
Tunisia,3.99501472711563,3.96234057843685,4.13129851222038
Turkey,3.23357842862606,3.38424891233444,3.27651053667068
Turkmenistan,1.50821302086115,1.2300849892199,1.54490265995264
Turks and Caicos Islands,..,..,..
Tuvalu,13.1702125072479,13.06122392416,12.4528303742409
Uganda,1.01885590702295,1.01090855896473,0.971404835581779
Ukraine,2.85615976899862,2.8504241257906,3.07959318161011
United Arab Emirates,2.55334880203009,2.4367792531848,2.39981282502413
United Kingdom,7.74825811386108,7.76824280619621,7.64871090650558
United States,8.50519612431526,8.61822366714478,8.55761468410492
Upper middle income,3.26996410446542,3.21669305875566,3.26215023388681
Uruguay,6.16197697818279,6.38753324747086,6.58495426177979
Uzbekistan,3.0373964458704,2.9058963060379,2.77740005403757
Vanuatu,2.01943032443523,1.98887418955564,2.03979462385178
"Venezuela, RB",1.95590537041426,0.774124497547746,0.188269501086324
Vietnam,2.36332677304745,2.68424768000841,2.68987957388163
Virgin Islands (U.S.),..,..,..
West Bank and Gaza,..,..,..
World,5.91830225275432,5.97053689367869,5.89366572491448
"Yemen, Rep.",0.431183259934187,..,..
Zambia,2.09054145962,1.71430744230747,1.72702744603157
Zimbabwe,3.40541265904903,3.56071181595325,3.42518053948879
