Country Name,Year,2015 People using at least basic sanitation services
Central Europe and the Baltics,2017,94.71077416
Chad,2015,8.840377126
Chad,2016,8.583368588
Chad,2017,8.342483278
Channel Islands,2015,98.5
Channel Islands,2016,98.5
Channel Islands,2017,98.5
Chile,2015,99.63102854
Chile,2016,100
Chile,2017,100.0000014
China,2015,81.6754051
China,2016,83.23517302
China,2017,84.76078771
Colombia,2015,87.54582739
Colombia,2016,88.58699402
Colombia,2017,89.62535776
Comoros,2015,35.81526768
Comoros,2016,35.8348916
Comoros,2017,35.85662412
"Congo, Dem. Rep.",2015,20.44121776
"Congo, Dem. Rep.",2016,20.42609827
"Congo, Dem. Rep.",2017,20.45597686
"Congo, Rep.",2015,18.93692796
"Congo, Rep.",2016,19.54805317
"Congo, Rep.",2017,20.17287892
Costa Rica,2015,97.27143763
Costa Rica,2016,97.54897669
Costa Rica,2017,97.81836025
Cote d'Ivoire,2015,30.5726952
Cote d'Ivoire,2016,31.34862262
Cote d'Ivoire,2017,32.13490714
Croatia,2015,96.48719979
Croatia,2016,96.51257251
Croatia,2017,96.53844584
Cuba,2015,92.43496458
Cuba,2016,92.81145886
Cuba,2017,92.81024176
Curacao,2015,98.95027512
Curacao,2016,98.95027512
Curacao,2017,98.95027512
Cyprus,2015,99.25604513
Cyprus,2016,99.20413372
Cyprus,2017,99.15231146
Czech Republic,2015,99.13537863
Czech Republic,2016,99.13478358
Czech Republic,2017,99.13409923
Denmark,2015,99.59722761
Denmark,2016,99.59722928
Denmark,2017,99.59722882
Djibouti,2015,61.09122736
Djibouti,2016,62.34721196
Djibouti,2017,63.60535725
Dominica,2015,77.8927615
Dominica,2016,..
Dominica,2017,..
Dominican Republic,2015,83.18475915
Dominican Republic,2016,83.53956123
Dominican Republic,2017,83.89320632
Early-demographic dividend,2015,62.85042218
Early-demographic dividend,2016,64.43333667
Early-demographic dividend,2017,65.60995914
East Asia & Pacific,2015,81.45192317
East Asia & Pacific,2016,82.75369631
East Asia & Pacific,2017,84.02651081
East Asia & Pacific (excluding high income),2015,79.46530216
East Asia & Pacific (excluding high income),2016,80.91904268
East Asia & Pacific (excluding high income),2017,82.33771969
East Asia & Pacific (IDA & IBRD countries),2015,79.43858192
East Asia & Pacific (IDA & IBRD countries),2016,80.90131463
East Asia & Pacific (IDA & IBRD countries),2017,82.32841588
Ecuador,2015,86.09979746
Ecuador,2016,87.17655336
Ecuador,2017,87.98871604
"Egypt, Arab Rep.",2015,93.96543459
"Egypt, Arab Rep.",2016,94.07834373
"Egypt, Arab Rep.",2017,94.19302188
El Salvador,2015,87.01041669
El Salvador,2016,87.22763606
El Salvador,2017,87.43356667
Equatorial Guinea,2015,66.18252256
Equatorial Guinea,2016,66.24854149
Equatorial Guinea,2017,66.31279002
Eritrea,2015,11.83791262
Eritrea,2016,11.93996619
Eritrea,2017,..
Estonia,2015,99.13277561
Estonia,2016,99.13973696
Estonia,2017,99.14655389
Eswatini,2015,57.87187848
Eswatini,2016,58.36818914
Eswatini,2017,58.35198329
Ethiopia,2015,6.86379406
Ethiopia,2016,7.090740001
Ethiopia,2017,7.316332895
Euro area,2015,98.8383467
Euro area,2016,98.85027353
Euro area,2017,98.85942405
Europe & Central Asia,2015,96.33766944
Europe & Central Asia,2016,96.47989259
Europe & Central Asia,2017,96.60717431
Europe & Central Asia (excluding high income),2015,93.37006827
Europe & Central Asia (excluding high income),2016,93.6165078
Europe & Central Asia (excluding high income),2017,93.86002411
Europe & Central Asia (IDA & IBRD countries),2015,93.76295184
Europe & Central Asia (IDA & IBRD countries),2016,94.04207896
Europe & Central Asia (IDA & IBRD countries),2017,94.29537963
European Union,2015,97.80439656
European Union,2016,97.91397392
European Union,2017,97.99675454
Faroe Islands,2015,90.88347572
Faroe Islands,2016,..
Faroe Islands,2017,..
Fiji,2015,94.54456731
Fiji,2016,95.06922889
Fiji,2017,95.07217507
Finland,2015,99.4478672
Finland,2016,99.44785618
Finland,2017,99.44784412
Fragile and conflict affected situations,2015,43.70760963
Fragile and conflict affected situations,2016,44.03474131
Fragile and conflict affected situations,2017,44.57250922
France,2015,98.65159917
France,2016,98.65080612
France,2017,98.65001155
French Polynesia,2015,96.85461383
French Polynesia,2016,96.85461383
French Polynesia,2017,96.85461383
Gabon,2015,47.31676563
Gabon,2016,47.36637167
Gabon,2017,47.41327672
"Gambia, The",2015,39.01341641
"Gambia, The",2016,39.12299713
"Gambia, The",2017,39.23114998
Georgia,2015,90.49064298
Georgia,2016,90.25437442
Georgia,2017,90.02479097
Germany,2015,99.22485351
Germany,2016,99.22492593
Germany,2017,99.22503756
Ghana,2015,17.14613673
Ghana,2016,17.80599013
Ghana,2017,18.47216562
Gibraltar,2015,100
Gibraltar,2016,100
Gibraltar,2017,100
Greece,2015,98.97597163
Greece,2016,98.97959928
Greece,2017,98.98319078
Greenland,2015,99.59723671
Greenland,2016,99.59723483
Greenland,2017,99.59723215
Grenada,2015,91.49389213
Grenada,2016,91.49389213
Grenada,2017,91.49389213
Guam,2015,90.35076551
Guam,2016,90.35076551
Guam,2017,..
Guatemala,2015,64.97704481
Guatemala,2016,65.02274536
Guatemala,2017,65.06313508
Guinea,2015,21.06094929
Guinea,2016,21.88899337
Guinea,2017,22.71926989
Guinea-Bissau,2015,19.82157881
Guinea-Bissau,2016,20.41955111
Guinea-Bissau,2017,20.538003
Guyana,2015,85.34648713
Guyana,2016,85.75872346
Guyana,2017,85.7631015
Haiti,2015,32.50172758
Haiti,2016,33.59935076
Haiti,2017,34.70445429
Heavily indebted poor countries (HIPC),2015,25.42381063
Heavily indebted poor countries (HIPC),2016,26.02031324
Heavily indebted poor countries (HIPC),2017,26.62116205
High income,2015,99.29857427
High income,2016,99.33769976
High income,2017,99.36176487
Honduras,2015,79.21901154
Honduras,2016,80.24248182
Honduras,2017,81.25126294
"Hong Kong SAR, China",2015,96.48826531
"Hong Kong SAR, China",2016,96.4622449
"Hong Kong SAR, China",2017,96.43622449
Hungary,2015,97.99545475
Hungary,2016,97.99318159
Hungary,2017,97.99087339
IBRD only,2015,75.42296166
IBRD only,2016,76.93029901
IBRD only,2017,78.26361562
Iceland,2015,98.78311465
Iceland,2016,98.7826612
Iceland,2017,98.78216824
IDA & IBRD total,2015,66.42465801
IDA & IBRD total,2016,67.63584981
IDA & IBRD total,2017,68.69806447
IDA blend,2015,48.04988172
IDA blend,2016,48.84642879
IDA blend,2017,49.65939833
IDA only,2015,34.58321194
IDA only,2016,35.19336538
IDA only,2017,35.87032171
IDA total,2015,39.14918191
IDA total,2016,39.82404147
IDA total,2017,40.57151092
India,2015,54.34514918
India,2016,56.94165514
India,2017,59.54344827
Indonesia,2015,69.37641292
Indonesia,2016,71.25313269
Indonesia,2017,73.12838737
"Iran, Islamic Rep.",2015,88.28761925
"Iran, Islamic Rep.",2016,88.35525906
"Iran, Islamic Rep.",2017,88.4218671
Iraq,2015,90.74158978
Iraq,2016,92.42690665
Iraq,2017,94.12102245
Ireland,2015,91.04727904
Ireland,2016,91.14664278
Ireland,2017,91.24518131
Isle of Man,2015,..
Isle of Man,2016,..
Isle of Man,2017,..
Israel,2015,100.0000015
Israel,2016,99.99999925
Israel,2017,100.0000015
Italy,2015,98.77134583
Italy,2016,98.7718902
Italy,2017,98.77243267
Jamaica,2015,86.94518239
Jamaica,2016,87.32379504
Jamaica,2017,87.31260017
Japan,2015,99.91012708
Japan,2016,99.90241732
Japan,2017,99.89470757
Jordan,2015,97.52729498
Jordan,2016,97.43348058
Jordan,2017,97.33975414
Kazakhstan,2015,97.73782708
Kazakhstan,2016,97.80581741
Kazakhstan,2017,97.87370168
Kenya,2015,29.54663237
Kenya,2016,29.29678479
Kenya,2017,29.05111506
Kiribati,2015,45.35790642
Kiribati,2016,46.58968114
Kiribati,2017,47.80288998
"Korea, Dem. People’s Rep.",2015,81.66581159
"Korea, Dem. People’s Rep.",2016,82.40860715
"Korea, Dem. People’s Rep.",2017,83.15841046
"Korea, Rep.",2015,100
"Korea, Rep.",2016,100
"Korea, Rep.",2017,100
Kosovo,2015,..
Kosovo,2016,..
Kosovo,2017,..
Kuwait,2015,100
Kuwait,2016,100
Kuwait,2017,100
Kyrgyz Republic,2015,96.54026831
Kyrgyz Republic,2016,96.5211618
Kyrgyz Republic,2017,96.50706696
Lao PDR,2015,69.38612054
Lao PDR,2016,71.93004839
Lao PDR,2017,74.45941043
Late-demographic dividend,2015,84.7981291
Late-demographic dividend,2016,86.02794563
Late-demographic dividend,2017,87.20471371
Latin America & Caribbean,2015,85.81071225
Latin America & Caribbean,2016,86.51151437
Latin America & Caribbean,2017,86.6384236
Latin America & Caribbean (excluding high income),2015,85.25747846
Latin America & Caribbean (excluding high income),2016,85.97681671
Latin America & Caribbean (excluding high income),2017,86.0626802
Latin America & the Caribbean (IDA & IBRD countries),2015,85.60248125
Latin America & the Caribbean (IDA & IBRD countries),2016,86.31737961
Latin America & the Caribbean (IDA & IBRD countries),2017,86.4383595
Latvia,2015,91.41685799
Latvia,2016,91.78196205
Latvia,2017,92.14826586
Least developed countries: UN classification,2015,32.7739121
Least developed countries: UN classification,2016,33.47962144
Least developed countries: UN classification,2017,34.23788079
Lebanon,2015,95.35936538
Lebanon,2016,96.92084295
Lebanon,2017,98.47663917
Lesotho,2015,39.0626453
Lesotho,2016,40.77341633
Lesotho,2017,42.75432019
Liberia,2015,16.68808774
Liberia,2016,16.83280719
Liberia,2017,16.9735177
Libya,2015,99.86315789
Libya,2016,100
Libya,2017,100
Liechtenstein,2015,99.95
Liechtenstein,2016,99.95
Liechtenstein,2017,99.95
Lithuania,2015,92.26720966
Lithuania,2016,92.81072301
Lithuania,2017,93.35363515
Low & middle income,2015,66.21230363
Low & middle income,2016,67.42876657
Low & middle income,2017,68.49570627
Low income,2015,29.33367916
Low income,2016,29.79507331
Low income,2017,30.4072089
Lower middle income,2015,57.5460996
Lower middle income,2016,59.26194709
Lower middle income,2017,60.9364445
Luxembourg,2015,97.61073912
Luxembourg,2016,97.60554225
Luxembourg,2017,97.60054021
"Macao SAR, China",2015,..
"Macao SAR, China",2016,..
"Macao SAR, China",2017,..
Madagascar,2015,9.739278835
Madagascar,2016,10.12063953
Madagascar,2017,10.5067604
Malawi,2015,25.58231452
Malawi,2016,25.90400219
Malawi,2017,26.22614825
Malaysia,2015,99.55743568
Malaysia,2016,99.56485343
Malaysia,2017,99.57203616
Maldives,2015,99.0490103
Maldives,2016,99.21069892
Maldives,2017,99.37299807
Mali,2015,36.1837947
Mali,2016,37.74745111
Mali,2017,39.33542034
Malta,2015,99.96175804
Malta,2016,99.95887563
Malta,2017,99.95599411
Marshall Islands,2015,82.96986483
Marshall Islands,2016,83.23294667
Marshall Islands,2017,83.49405738
Mauritania,2015,43.49986871
Mauritania,2016,45.93043239
Mauritania,2017,48.43548977
Mauritius,2015,95.50608395
Mauritius,2016,95.50537854
Mauritius,2017,95.50483771
Mexico,2015,89.41727522
Mexico,2016,90.30357097
Mexico,2017,91.18305556
"Micronesia, Fed. Sts.",2015,88.30933155
"Micronesia, Fed. Sts.",2016,88.30933155
"Micronesia, Fed. Sts.",2017,88.30933155
Middle East & North Africa,2015,90.09562179
Middle East & North Africa,2016,90.41001967
Middle East & North Africa,2017,90.64286131
Middle East & North Africa (excluding high income),2015,88.46628465
Middle East & North Africa (excluding high income),2016,88.81401579
Middle East & North Africa (excluding high income),2017,89.07054448
Middle East & North Africa (IDA & IBRD countries),2015,88.36597674
Middle East & North Africa (IDA & IBRD countries),2016,88.71718108
Middle East & North Africa (IDA & IBRD countries),2017,88.9763407
Middle income,2015,70.59829242
Middle income,2016,71.96802796
Middle income,2017,73.13918529
Moldova,2015,75.35244781
Moldova,2016,75.82827451
Moldova,2017,76.30819923
Monaco,2015,100
Monaco,2016,100
Monaco,2017,100
Mongolia,2015,57.98078314
Mongolia,2016,58.46301597
Mongolia,2017,58.47939277
Montenegro,2015,97.73458061
Montenegro,2016,97.7542038
Montenegro,2017,97.77387829
Morocco,2015,87.54453374
Morocco,2016,88.41946438
Morocco,2017,88.50364407
Mozambique,2015,26.8693541
Mozambique,2016,28.10895765
Mozambique,2017,29.36029465
Myanmar,2015,65.08818855
Myanmar,2016,64.70898086
Myanmar,2017,64.33268404
Namibia,2015,33.90285998
Namibia,2016,34.21341445
Namibia,2017,34.50373693
Nauru,2015,65.59552643
Nauru,2016,65.59552643
Nauru,2017,65.59552643
Nepal,2015,55.74051719
Nepal,2016,58.8717272
Nepal,2017,62.05359545
Netherlands,2015,97.7353052
Netherlands,2016,97.72421693
Netherlands,2017,97.71361006
New Caledonia,2015,100
New Caledonia,2016,100
New Caledonia,2017,100
New Zealand,2015,100
New Zealand,2016,99.99999869
New Zealand,2017,100
Nicaragua,2015,73.39253639
Nicaragua,2016,74.38843114
Nicaragua,2017,74.43473081
Niger,2015,12.75141462
Niger,2016,13.16234617
Niger,2017,13.56665969
Nigeria,2015,37.6785349
Nigeria,2016,38.4146317
Nigeria,2017,39.1717541
North America,2015,99.90885827
North America,2016,99.90493978
North America,2017,99.90091595
North Macedonia,2015,98.13915127
North Macedonia,2016,98.7025715
North Macedonia,2017,99.12474221
Northern Mariana Islands,2015,78.48237644
Northern Mariana Islands,2016,78.69368964
Northern Mariana Islands,2017,78.90500285
Norway,2015,98.05672699
Norway,2016,98.05554158
Norway,2017,98.0543915
Not classified,2015,..
Not classified,2016,..
Not classified,2017,..
OECD members,2015,98.32165722
OECD members,2016,98.43072368
OECD members,2017,98.52557189
Oman,2015,100
Oman,2016,99.99999724
Oman,2017,99.99999868
Other small states,2015,65.68821514
Other small states,2016,65.68729438
Other small states,2017,66.08711424
Pacific island small states,2015,69.19187618
Pacific island small states,2016,69.15485431
Pacific island small states,2017,68.91212475
Pakistan,2015,56.6379614
Pakistan,2016,58.2573676
Pakistan,2017,59.86949503
Palau,2015,99.99999776
Palau,2016,100.0000044
Palau,2017,99.99999781
Panama,2015,81.14136146
Panama,2016,82.22911762
Panama,2017,83.31545897
Papua New Guinea,2015,14.13108181
Papua New Guinea,2016,13.53812308
Papua New Guinea,2017,12.94926697
Paraguay,2015,87.66634655
Paraguay,2016,88.72906349
Paraguay,2017,89.78369143
Peru,2015,73.34397611
Peru,2016,73.84703641
Peru,2017,74.34295659
Philippines,2015,74.26398135
Philippines,2016,75.39533489
Philippines,2017,76.53350207
Poland,2015,97.692105
Poland,2016,98.38310106
Poland,2017,98.79661022
Portugal,2015,99.44206601
Portugal,2016,99.56670609
Portugal,2017,99.60892314
Post-demographic dividend,2015,99.17007065
Post-demographic dividend,2016,99.1780663
Post-demographic dividend,2017,99.18128529
Pre-demographic dividend,2015,32.12386514
Pre-demographic dividend,2016,32.79740084
Pre-demographic dividend,2017,33.54169475
Puerto Rico,2015,97.15727148
Puerto Rico,2016,97.16391209
Puerto Rico,2017,97.17055271
Qatar,2015,100
Qatar,2016,100
Qatar,2017,100
Romania,2015,82.80963615
Romania,2016,83.55720095
Romania,2017,84.30992434
Russian Federation,2015,89.64290869
Russian Federation,2016,90.06288151
Russian Federation,2017,90.48222462
Rwanda,2015,64.23988414
Rwanda,2016,65.41228848
Rwanda,2017,66.5738424
Samoa,2015,98.06688793
Samoa,2016,98.11713321
Samoa,2017,98.16793934
San Marino,2015,100
San Marino,2016,100
San Marino,2017,100
Sao Tome and Principe,2015,41.3628413
Sao Tome and Principe,2016,42.82965042
Sao Tome and Principe,2017,42.97494428
Saudi Arabia,2015,99.80078584
Saudi Arabia,2016,99.90776106
Saudi Arabia,2017,100
Senegal,2015,50.08593779
Senegal,2016,50.78331894
Senegal,2017,51.47398952
Serbia,2015,97.63535858
Serbia,2016,97.60069851
Serbia,2017,97.56719903
Seychelles,2015,100
Seychelles,2016,100
Seychelles,2017,100
Sierra Leone,2015,14.93763698
Sierra Leone,2016,15.29304218
Sierra Leone,2017,15.65266158
Singapore,2015,100
Singapore,2016,100
Singapore,2017,100
Sint Maarten (Dutch part),2015,98.78102656
Sint Maarten (Dutch part),2016,98.78102656
Sint Maarten (Dutch part),2017,98.78102656
Slovak Republic,2015,97.925875
Slovak Republic,2016,97.93170395
Slovak Republic,2017,97.93813039
Slovenia,2015,99.10932897
Slovenia,2016,99.10944205
Slovenia,2017,99.10956793
Small states,2015,70.17202539
Small states,2016,70.20368997
Small states,2017,70.45189711
Solomon Islands,2015,31.84076868
Solomon Islands,2016,32.75394136
Solomon Islands,2017,33.52835363
Somalia,2015,35.69753656
Somalia,2016,37.00522937
Somalia,2017,38.33638026
South Africa,2015,73.89208403
South Africa,2016,74.82487755
South Africa,2017,75.7470984
South Asia,2015,54.08890249
South Asia,2016,56.4119849
South Asia,2017,58.73468478
South Asia (IDA & IBRD),2015,54.08890249
South Asia (IDA & IBRD),2016,56.4119849
South Asia (IDA & IBRD),2017,58.73468478
South Sudan,2015,9.595679276
South Sudan,2016,10.43676984
South Sudan,2017,11.32168431
Spain,2015,99.90433468
Spain,2016,99.90428643
Spain,2017,99.90423089
Sri Lanka,2015,94.43110246
Sri Lanka,2016,95.10703002
Sri Lanka,2017,95.78172636
St. Kitts and Nevis,2015,..
St. Kitts and Nevis,2016,..
St. Kitts and Nevis,2017,..
St. Lucia,2015,88.36548654
St. Lucia,2016,88.35991069
St. Lucia,2017,88.35290861
St. Martin (French part),2015,..
St. Martin (French part),2016,..
St. Martin (French part),2017,..
St. Vincent and the Grenadines,2015,87.1843449
St. Vincent and the Grenadines,2016,87.1843449
St. Vincent and the Grenadines,2017,87.1843449
Sub-Saharan Africa,2015,29.77434381
Sub-Saharan Africa,2016,30.30833626
Sub-Saharan Africa,2017,30.88859834
Sub-Saharan Africa (excluding high income),2015,29.76775285
Sub-Saharan Africa (excluding high income),2016,30.30188282
Sub-Saharan Africa (excluding high income),2017,30.88224178
Sub-Saharan Africa (IDA & IBRD countries),2015,29.77434381
Sub-Saharan Africa (IDA & IBRD countries),2016,30.30833626
Sub-Saharan Africa (IDA & IBRD countries),2017,30.88859834
Sudan,2015,35.06823583
Sudan,2016,36.48562591
Sudan,2017,36.57503249
Suriname,2015,83.82623292
Suriname,2016,84.14052193
Suriname,2017,84.45758317
Sweden,2015,99.3002379
Sweden,2016,99.29786352
Sweden,2017,99.29552038
Switzerland,2015,99.89097323
Switzerland,2016,99.89036265
Switzerland,2017,99.89037352
Syrian Arab Republic,2015,91.56171823
Syrian Arab Republic,2016,91.39603204
Syrian Arab Republic,2017,91.2228714
Tajikistan,2015,96.12746211
Tajikistan,2016,96.57566996
Tajikistan,2017,97.02306222
Tanzania,2015,26.86948427
Tanzania,2016,28.3903801
Tanzania,2017,29.91343902
Thailand,2015,97.95530764
Thailand,2016,98.39644593
Thailand,2017,98.75073461
Timor-Leste,2015,51.32193273
Timor-Leste,2016,52.42056634
Timor-Leste,2017,53.51900783
Togo,2015,15.29687902
Togo,2016,15.71230508
Togo,2017,16.1321037
Tonga,2015,93.44962443
Tonga,2016,93.44744852
Tonga,2017,93.44527091
Trinidad and Tobago,2015,93.39890595
Trinidad and Tobago,2016,93.39890595
Trinidad and Tobago,2017,93.39890595
Tunisia,2015,90.29608163
Tunisia,2016,90.88012796
Tunisia,2017,90.92139742
Turkey,2015,97.19435746
Turkey,2016,97.24644345
Turkey,2017,97.29723396
Turkmenistan,2015,97.84790087
Turkmenistan,2016,98.27203549
Turkmenistan,2017,98.69919847
Turks and Caicos Islands,2015,87.98863636
Turks and Caicos Islands,2016,87.98863636
Turks and Caicos Islands,2017,87.98863636
Tuvalu,2015,84.14021666
Tuvalu,2016,84.1088306
Tuvalu,2017,84.07847367
Uganda,2015,18.42463657
Uganda,2016,18.45123259
Uganda,2017,18.47231816
Ukraine,2015,96.21733034
Ukraine,2016,96.22086112
Ukraine,2017,96.22435599
United Arab Emirates,2015,98.57778247
United Arab Emirates,2016,98.58189561
United Arab Emirates,2017,98.58600874
United Kingdom,2015,99.11255894
United Kingdom,2016,99.11142063
United Kingdom,2017,99.11029548
United States,2015,99.96960722
United States,2016,99.96981214
United States,2017,99.97001877
Upper middle income,2015,85.16942514
Upper middle income,2016,86.24742825
Upper middle income,2017,87.17664633
Uruguay,2015,96.20479894
Uruguay,2016,96.40118042
Uruguay,2017,96.59619234
Uzbekistan,2015,100
Uzbekistan,2016,100
Uzbekistan,2017,100
Vanuatu,2015,38.12974131
Vanuatu,2016,36.08802415
Vanuatu,2017,34.0670576
"Venezuela, RB",2015,93.93501902
"Venezuela, RB",2016,93.93501902
"Venezuela, RB",2017,93.93501902
Vietnam,2015,80.08031187
Vietnam,2016,81.85570363
Vietnam,2017,83.51504947
Virgin Islands (U.S.),2015,99.34401679
Virgin Islands (U.S.),2016,99.37127753
Virgin Islands (U.S.),2017,99.37127753
West Bank and Gaza,2015,96.91605704
West Bank and Gaza,2016,96.9275988
West Bank and Gaza,2017,96.93900691
World,2015,71.4915006
World,2016,72.48968099
World,2017,73.39336897
"Yemen, Rep.",2015,58.49521228
"Yemen, Rep.",2016,58.77298382
"Yemen, Rep.",2017,59.05300312
Zambia,2015,25.97825783
Zambia,2016,26.08649095
Zambia,2017,26.37011849
Zimbabwe,2015,37.56810685
Zimbabwe,2016,36.89173117
Zimbabwe,2017,36.22139756
