Country,Year,Prevalence of overweight adults (both sexes) - WHO (2019),Prevalence of overweight adults (females) - WHO (2019),Prevalence of overweight adults (males) - WHO (2019)
Guatemala,2015,50.6,59.2,50.7
Guatemala,2016,51.4,59.9,51.4
Guinea,2015,23.3,33.5,18.3
Guinea,2016,23.8,34.2,18.7
Guinea-Bissau,2015,26.3,36.5,21.6
Guinea-Bissau,2016,26.9,37.2,22.2
Guyana,2015,46.7,55.9,40.7
Guyana,2016,47.5,56.6,41.5
Haiti,2015,49.9,57.4,49.9
Haiti,2016,51.1,58.3,51.1
Honduras,2015,51,58.9,51
Honduras,2016,51.9,59.5,51.8
Hungary,2015,64.8,53.5,68.9
Hungary,2016,65.4,53.8,69.6
Iceland,2015,61,50.2,67.1
Iceland,2016,61.5,50.5,67.5
India,2015,18.7,21,17.2
India,2016,19.3,21.6,17.8
Indonesia,2015,27.4,30.5,24.1
Indonesia,2016,28.3,31.2,25
Iran,2015,59.7,64.9,56.9
Iran,2016,60.9,65.4,57.7
Iraq,2015,59.1,67.5,60.3
Iraq,2016,59.8,68,61
Ireland,2015,62.8,54.6,65.6
Ireland,2016,63.6,55.2,66.1
Israel,2015,64.9,57.6,70.4
Israel,2016,65.3,57.8,70.9
Italy,2015,63.6,51.2,64.9
Italy,2016,64.1,51.5,65.3
Jamaica,2015,54.2,62.6,46.5
Jamaica,2016,55,63.2,47.4
Japan,2015,29,21.6,31.9
Japan,2016,29.4,21.8,32.5
Jordan,2015,65.6,71.8,66.3
Jordan,2016,66.5,72.2,67
Kazakhstan,2015,53.1,52.1,53.6
Kazakhstan,2016,53.9,52.6,54.3
Kenya,2015,22,33.5,15.7
Kenya,2016,22.6,34.3,16.1
Kiribati,2015,77.6,80.6,76.1
Kiribati,2016,78,80.9,76.6
Kuwait,2015,71.4,74.9,71.9
Kuwait,2016,72.1,75.1,72.4
Kyrgyzstan,2015,44.9,48.1,46.7
Kyrgyzstan,2016,45.8,48.8,47.4
Laos,2015,21.7,27.2,21.6
Laos,2016,22.6,27.9,22.5
Latvia,2015,61.2,54.7,60.3
Latvia,2016,61.7,54.9,60.9
Lebanon,2015,66.1,68.7,66.3
Lebanon,2016,66.9,69.1,66.9
Lesotho,2015,32.6,52.9,20.6
Lesotho,2016,33.2,53.7,21.1
Liberia,2015,27.3,37.6,22.7
Liberia,2016,27.8,38.3,23.2
Libya,2015,64.8,69.6,62.7
Libya,2016,65.7,70,63.4
Lithuania,2015,62.4,56.4,62.1
Lithuania,2016,62.9,56.5,62.6
Luxembourg,2015,61.3,50.3,66.3
Luxembourg,2016,61.7,50.6,66.8
Macedonia,2015,60.3,50.9,64.3
Macedonia,2016,60.9,51.2,64.9
Madagascar,2015,20.5,28.9,17.2
Madagascar,2016,21.1,29.6,17.7
Malawi,2015,19.6,30.8,14.5
Malawi,2016,20.1,31.5,14.8
Malaysia,2015,40.6,42.3,40.9
Malaysia,2016,41.7,43,42
Maldives,2015,27.4,33.4,25.9
Maldives,2016,28.5,34.2,26.9
Mali,2015,23.8,34.4,19.7
Mali,2016,24.4,35.1,20.3
Malta,2015,69.6,59.4,72.6
Malta,2016,70,59.6,73
Marshall Islands,2015,82.3,84.6,81.7
Marshall Islands,2016,82.7,84.9,82.1
Mauritania,2015,30.8,41.7,25.3
Mauritania,2016,31.5,42.3,26
Mauritius,2015,33.3,39.2,24
Mauritius,2016,33.8,39.8,24.3
Mexico,2015,63.5,65.5,63
Mexico,2016,64.1,66,63.6
Micronesia (country),2015,69.4,79.3,71.5
Micronesia (country),2016,70.1,79.8,72.1
Moldova,2015,53.4,49.8,52.9
Moldova,2016,54.1,50.1,53.5
Mongolia,2015,52.7,54.8,54.6
Mongolia,2016,53.9,55.5,55.5
Montenegro,2015,61.8,52.2,65.8
Montenegro,2016,62.3,52.5,66.3
Morocco,2015,58.5,63.4,55.6
Morocco,2016,59.5,64,56.4
Mozambique,2015,22.6,32.9,17.6
Mozambique,2016,23.1,33.6,18
Myanmar,2015,23.8,27.1,20.5
Myanmar,2016,24.6,27.8,21.2
Namibia,2015,35.7,51.1,26.4
Namibia,2016,36.6,51.9,27.2
Nauru,2015,87.7,88.6,88.1
Nauru,2016,87.9,88.7,88.3
Nepal,2015,19.1,22.2,18.6
Nepal,2016,19.6,22.8,19.1
Netherlands,2015,62.1,49.8,64.9
Netherlands,2016,62.6,50.2,65.4
New Zealand,2015,67.5,60.3,70.2
New Zealand,2016,68,60.8,70.6
Nicaragua,2015,54,60.8,54
Nicaragua,2016,54.8,61.4,54.7
Niger,2015,19.3,28.9,14.2
Niger,2016,19.7,29.7,14.6
Nigeria,2015,25.4,35.3,21.1
Nigeria,2016,26,36.1,21.7
Niue,2015,78.5,82,77
Niue,2016,79.1,82.5,77.6
North Korea,2015,32.9,30.4,33.3
North Korea,2016,33.5,30.7,33.9
Norway,2015,61.2,51,64.5
Norway,2016,61.7,51.4,65
Oman,2015,54.6,65.1,59.7
Oman,2016,56,65.7,60.6
Pakistan,2015,25.4,30.5,25
Pakistan,2016,26.2,31.3,25.7
Palau,2015,84,85.6,83.9
Palau,2016,84.4,85.9,84.3
Panama,2015,57.8,60.8,55.5
Panama,2016,58.5,61.3,56.2
Papua New Guinea,2015,48.6,57.4,46.7
Papua New Guinea,2016,49.3,58.1,47.4
Paraguay,2015,50.2,52.7,53
Paraguay,2016,50.9,53.3,53.7
Peru,2015,55.6,59.6,54.1
Peru,2016,56.3,60.1,54.8
Philippines,2015,25.4,28.3,25.4
Philippines,2016,26.1,28.9,26.1
Poland,2015,61.7,50.8,65
Poland,2016,62.4,51.1,65.6
Portugal,2015,61.6,51.6,62.5
Portugal,2016,62.3,52,63.1
Qatar,2015,69.3,73,70.4
Qatar,2016,70.3,73.3,71
Romania,2015,60.7,50.7,63.6
Romania,2016,61.4,51.1,64.3
Russia,2015,60.5,55.5,57.6
Russia,2016,61.1,55.7,58.2
Rwanda,2015,21.4,32.7,15.1
Rwanda,2016,22,33.5,15.6
Saint Kitts and Nevis,2015,51.9,58.6,44.2
Saint Kitts and Nevis,2016,52.7,59.3,45
Saint Lucia,2015,47.5,55.6,38.6
Saint Lucia,2016,48.3,56.3,39.3
Saint Vincent and the Grenadines,2015,54.1,60.5,48
Saint Vincent and the Grenadines,2016,55,61.1,48.9
Samoa,2015,74.7,81.6,73.1
Samoa,2016,75.1,82,73.6
Sao Tome and Principe,2015,30.9,41,27.5
Sao Tome and Principe,2016,31.6,41.6,28.2
Saudi Arabia,2015,68.2,71.4,67.7
Saudi Arabia,2016,69,71.8,68.3
Senegal,2015,24.3,35.2,19.1
Senegal,2016,24.9,35.9,19.5
Serbia,2015,60,50.2,63.2
Serbia,2016,60.7,50.5,63.8
Seychelles,2015,37.4,44.4,28
Seychelles,2016,38.1,45.1,28.5
Sierra Leone,2015,24.4,35.3,18.7
Sierra Leone,2016,24.9,36,19.1
Singapore,2015,33.2,27.3,35.8
Singapore,2016,33.6,27.4,36.3
Slovakia,2015,59.1,48.5,63.1
Slovakia,2016,59.7,48.8,63.6
Slovenia,2015,60.1,49.6,61.5
Slovenia,2016,60.7,49.9,62.1
Solomon Islands,2015,50.5,59.7,48.8
Solomon Islands,2016,51.3,60.5,49.6
Somalia,2015,24.3,35.2,19.8
Somalia,2016,24.7,35.9,20.3
South Africa,2015,51.1,64.9,39.6
South Africa,2016,51.9,65.4,40.5
South Korea,2015,31.7,26.2,33.5
South Korea,2016,32.1,26.4,34
South-East Asia,2015,21.3,23.5,19
South-East Asia,2016,21.9,24.1,19.7
Spain,2015,66.6,53.8,68.5
Spain,2016,67.2,54.1,68.9
Sri Lanka,2015,23.4,26.7,18.1
Sri Lanka,2016,24.2,27.4,18.7
Sudan (former),2015,25.7,35.4,19.3
Sudan (former),2016,25.7,36.1,19.7
Suriname,2015,58.3,63.7,52.7
Suriname,2016,59,64.2,53.4
Swaziland,2015,32.3,51.9,21.8
Swaziland,2016,33,52.6,22.2
Sweden,2015,59.5,48.1,63.7
Sweden,2016,59.9,48.5,64.2
Switzerland,2015,57.4,45.6,62.2
Switzerland,2016,57.9,45.9,62.6
Syria,2015,57.1,64.8,56.5
Syria,2016,57.9,65.4,57.3
Tajikistan,2015,40.7,45.6,43.5
Tajikistan,2016,41.7,46.3,44.2
Tanzania,2015,23.8,34.6,19
Tanzania,2016,24.5,35.5,19.6
Thailand,2015,33.6,34.7,28.1
Thailand,2016,34.7,35.6,29.2
Timor,2015,17.4,23.6,18.1
Timor,2016,17.9,24.3,18.7
Togo,2015,24.3,35,19.1
Togo,2016,25,35.8,19.6
Tonga,2015,75.2,81.8,74.2
Tonga,2016,75.6,82.2,74.8
Trinidad and Tobago,2015,47.1,53.7,36.4
Trinidad and Tobago,2016,48.1,54.5,37.1
Tunisia,2015,61.2,65.3,56.4
Tunisia,2016,62.2,65.8,57.1
Turkey,2015,66.1,68.8,63.3
Turkey,2016,66.9,69.3,64
Turkmenistan,2015,48.6,50.8,51.2
Turkmenistan,2016,49.6,51.5,52
Tuvalu,2015,80.4,83.4,79.4
Tuvalu,2016,81,83.8,80
Uganda,2015,18.5,30.1,13.4
Uganda,2016,19,30.9,13.7
Ukraine,2015,61.3,55.3,60.8
Ukraine,2016,61.9,55.5,61.4
United Arab Emirates,2015,64.2,70.7,65.6
United Arab Emirates,2016,65.9,71.1,66.3
United Kingdom,2015,66.6,58.4,68.1
United Kingdom,2016,67.2,58.9,68.6
United States,2015,69.6,62.6,72.3
United States,2016,70.2,63.2,72.7
Uruguay,2015,64,60.4,64.3
Uruguay,2016,64.5,60.8,64.9
Uzbekistan,2015,44.7,48.2,46.6
Uzbekistan,2016,45.7,48.9,47.3
Vanuatu,2015,53.3,61.3,51.5
Vanuatu,2016,54.1,62,52.2
Venezuela,2015,62.1,63.5,62.4
Venezuela,2016,62.6,63.8,62.9
Vietnam,2015,17.5,19.9,15.1
Vietnam,2016,18.3,20.5,15.8
Western Pacific,2015,31,29,32.8
Western Pacific,2016,31.7,29.6,33.7
World,2015,38.4,38.7,38
World,2016,38.9,39.2,38.5
Yemen,2015,41.3,52.4,43.2
Yemen,2016,42.3,53.3,44.1
Zambia,2015,23.4,35.6,18.6
Zambia,2016,23.9,36.3,19
Zimbabwe,2015,31.8,52.2,21.8
Zimbabwe,2016,32.4,52.8,22.2
