Country Name,Year,Income classifications (World Bank (2017))
Cayman Islands,2016,High income
Central African Republic,2015,Low income
Central African Republic,2016,Low income
Chad,2015,Low income
Chad,2016,Low income
Channel Islands,2015,High income
Channel Islands,2016,High income
Chile,2015,High income
Chile,2016,High income
China,2015,Upper-middle income
China,2016,Upper-middle income
Colombia,2015,Upper-middle income
Colombia,2016,Upper-middle income
Comoros,2015,Low income
Comoros,2016,Low income
Congo,2015,Lower-middle income
Congo,2016,Lower-middle income
Costa Rica,2015,Upper-middle income
Costa Rica,2016,Upper-middle income
Cote d'Ivoire,2015,Lower-middle income
Cote d'Ivoire,2016,Lower-middle income
Croatia,2015,High income
Croatia,2016,Upper-middle income
Cuba,2015,Upper-middle income
Cuba,2016,Upper-middle income
Curacao,2015,High income
Curacao,2016,High income
Cyprus,2015,High income
Cyprus,2016,High income
Czech Republic,2015,High income
Czech Republic,2016,High income
Czechoslovakia,2015,Not categorized
Czechoslovakia,2016,Not categorized
Democratic Republic of Congo,2015,Low income
Democratic Republic of Congo,2016,Low income
Denmark,2015,High income
Denmark,2016,High income
Djibouti,2015,Lower-middle income
Djibouti,2016,Lower-middle income
Dominica,2015,Upper-middle income
Dominica,2016,Upper-middle income
Dominican Republic,2015,Upper-middle income
Dominican Republic,2016,Upper-middle income
Ecuador,2015,Upper-middle income
Ecuador,2016,Upper-middle income
Egypt,2015,Lower-middle income
Egypt,2016,Lower-middle income
El Salvador,2015,Lower-middle income
El Salvador,2016,Lower-middle income
Equatorial Guinea,2015,Upper-middle income
Equatorial Guinea,2016,Upper-middle income
Eritrea,2015,Low income
Eritrea,2016,Low income
Estonia,2015,High income
Estonia,2016,High income
Ethiopia,2015,Low income
Ethiopia,2016,Low income
Faeroe Islands,2015,High income
Faeroe Islands,2016,High income
Fiji,2015,Upper-middle income
Fiji,2016,Upper-middle income
Finland,2015,High income
Finland,2016,High income
France,2015,High income
France,2016,High income
French Polynesia,2015,High income
French Polynesia,2016,High income
Gabon,2015,Upper-middle income
Gabon,2016,Upper-middle income
Gambia,2015,Low income
Gambia,2016,Low income
Georgia,2015,Upper-middle income
Georgia,2016,Lower-middle income
Germany,2015,High income
Germany,2016,High income
Ghana,2015,Lower-middle income
Ghana,2016,Lower-middle income
Gibraltar,2015,High income
Gibraltar,2016,High income
Greece,2015,High income
Greece,2016,High income
Greenland,2015,High income
Greenland,2016,High income
Grenada,2015,Upper-middle income
Grenada,2016,Upper-middle income
Guam,2015,High income
Guam,2016,High income
Guatemala,2015,Lower-middle income
Guatemala,2016,Lower-middle income
Guinea,2015,Low income
Guinea,2016,Low income
Guinea-Bissau,2015,Low income
Guinea-Bissau,2016,Low income
Guyana,2015,Upper-middle income
Guyana,2016,Upper-middle income
Haiti,2015,Low income
Haiti,2016,Low income
Honduras,2015,Lower-middle income
Honduras,2016,Lower-middle income
Hong Kong,2015,High income
Hong Kong,2016,High income
Hungary,2015,High income
Hungary,2016,High income
Iceland,2015,High income
Iceland,2016,High income
India,2015,Lower-middle income
India,2016,Lower-middle income
Indonesia,2015,Lower-middle income
Indonesia,2016,Lower-middle income
Iran,2015,Upper-middle income
Iran,2016,Upper-middle income
Iraq,2015,Upper-middle income
Iraq,2016,Upper-middle income
Ireland,2015,High income
Ireland,2016,High income
Isle of Man,2015,High income
Isle of Man,2016,High income
Israel,2015,High income
Israel,2016,High income
Italy,2015,High income
Italy,2016,High income
Jamaica,2015,Upper-middle income
Jamaica,2016,Upper-middle income
Japan,2015,High income
Japan,2016,High income
Jordan,2015,Upper-middle income
Jordan,2016,Lower-middle income
Kazakhstan,2015,Upper-middle income
Kazakhstan,2016,Upper-middle income
Kenya,2015,Lower-middle income
Kenya,2016,Lower-middle income
Kiribati,2015,Lower-middle income
Kiribati,2016,Lower-middle income
Kosovo,2015,Lower-middle income
Kosovo,2016,Lower-middle income
Kuwait,2015,High income
Kuwait,2016,High income
Kyrgyzstan,2015,Lower-middle income
Kyrgyzstan,2016,Lower-middle income
Laos,2015,Lower-middle income
Laos,2016,Lower-middle income
Latvia,2015,High income
Latvia,2016,High income
Lebanon,2015,Upper-middle income
Lebanon,2016,Upper-middle income
Lesotho,2015,Lower-middle income
Lesotho,2016,Lower-middle income
Liberia,2015,Low income
Liberia,2016,Low income
Libya,2015,Upper-middle income
Libya,2016,Upper-middle income
Liechtenstein,2015,High income
Liechtenstein,2016,High income
Lithuania,2015,High income
Lithuania,2016,High income
Luxembourg,2015,High income
Luxembourg,2016,High income
Macao,2015,High income
Macao,2016,High income
Macedonia,2015,Upper-middle income
Macedonia,2016,Upper-middle income
Madagascar,2015,Low income
Madagascar,2016,Low income
Malawi,2015,Low income
Malawi,2016,Low income
Malaysia,2015,Upper-middle income
Malaysia,2016,Upper-middle income
Maldives,2015,Upper-middle income
Maldives,2016,Upper-middle income
Mali,2015,Low income
Mali,2016,Low income
Malta,2015,High income
Malta,2016,High income
Marshall Islands,2015,Upper-middle income
Marshall Islands,2016,Upper-middle income
Mauritania,2015,Lower-middle income
Mauritania,2016,Lower-middle income
Mauritius,2015,Upper-middle income
Mauritius,2016,Upper-middle income
Mayotte,2015,Not categorized
Mayotte,2016,Not categorized
Mexico,2015,Upper-middle income
Mexico,2016,Upper-middle income
Micronesia,2015,Lower-middle income
Micronesia,2016,Lower-middle income
Moldova,2015,Lower-middle income
Moldova,2016,Lower-middle income
Monaco,2015,High income
Monaco,2016,High income
Mongolia,2015,Lower-middle income
Mongolia,2016,Lower-middle income
Montenegro,2015,Upper-middle income
Montenegro,2016,Upper-middle income
Morocco,2015,Lower-middle income
Morocco,2016,Lower-middle income
Mozambique,2015,Low income
Mozambique,2016,Low income
Myanmar,2015,Lower-middle income
Myanmar,2016,Lower-middle income
Namibia,2015,Upper-middle income
Namibia,2016,Upper-middle income
Nauru,2015,High income
Nauru,2016,Upper-middle income
Nepal,2015,Low income
Nepal,2016,Low income
Netherlands,2015,High income
Netherlands,2016,High income
Netherlands Antilles,2015,Not categorized
Netherlands Antilles,2016,Not categorized
New Caledonia,2015,High income
New Caledonia,2016,High income
New Zealand,2015,High income
New Zealand,2016,High income
Nicaragua,2015,Lower-middle income
Nicaragua,2016,Lower-middle income
Niger,2015,Low income
Niger,2016,Low income
Nigeria,2015,Lower-middle income
Nigeria,2016,Lower-middle income
North Korea,2015,Low income
North Korea,2016,Low income
Northern Mariana Islands,2015,High income
Northern Mariana Islands,2016,High income
Norway,2015,High income
Norway,2016,High income
Oman,2015,High income
Oman,2016,High income
Pakistan,2015,Lower-middle income
Pakistan,2016,Lower-middle income
Palau,2015,Upper-middle income
Palau,2016,High income
Palestine,2015,Lower-middle income
Palestine,2016,Lower-middle income
Panama,2015,Upper-middle income
Panama,2016,Upper-middle income
Papua New Guinea,2015,Lower-middle income
Papua New Guinea,2016,Lower-middle income
Paraguay,2015,Upper-middle income
Paraguay,2016,Upper-middle income
Peru,2015,Upper-middle income
Peru,2016,Upper-middle income
Philippines,2015,Lower-middle income
Philippines,2016,Lower-middle income
Poland,2015,High income
Poland,2016,High income
Portugal,2015,High income
Portugal,2016,High income
Puerto Rico,2015,High income
Puerto Rico,2016,High income
Qatar,2015,High income
Qatar,2016,High income
Romania,2015,Upper-middle income
Romania,2016,Upper-middle income
Russia,2015,Upper-middle income
Russia,2016,Upper-middle income
Rwanda,2015,Low income
Rwanda,2016,Low income
Saint Kitts and Nevis,2015,High income
Saint Kitts and Nevis,2016,High income
Saint Lucia,2015,Upper-middle income
Saint Lucia,2016,Upper-middle income
Saint Martin (French part),2015,High income
Saint Martin (French part),2016,High income
Saint Vincent and the Grenadines,2015,Upper-middle income
Saint Vincent and the Grenadines,2016,Upper-middle income
Samoa,2015,Lower-middle income
Samoa,2016,Upper-middle income
San Marino,2015,High income
San Marino,2016,High income
Sao Tome and Principe,2015,Lower-middle income
Sao Tome and Principe,2016,Lower-middle income
Saudi Arabia,2015,High income
Saudi Arabia,2016,High income
Senegal,2015,Low income
Senegal,2016,Low income
Serbia,2015,Upper-middle income
Serbia,2016,Upper-middle income
Seychelles,2015,High income
Seychelles,2016,High income
Sierra Leone,2015,Low income
Sierra Leone,2016,Low income
Singapore,2015,High income
Singapore,2016,High income
Sint Maarten (Dutch part),2015,High income
Sint Maarten (Dutch part),2016,High income
Slovakia,2015,High income
Slovakia,2016,High income
Slovenia,2015,High income
Slovenia,2016,High income
Solomon Islands,2015,Lower-middle income
Solomon Islands,2016,Lower-middle income
Somalia,2015,Low income
Somalia,2016,Low income
South Africa,2015,Upper-middle income
South Africa,2016,Upper-middle income
South Korea,2015,High income
South Korea,2016,High income
South Sudan,2015,Low income
South Sudan,2016,Low income
Spain,2015,High income
Spain,2016,High income
Sri Lanka,2015,Lower-middle income
Sri Lanka,2016,Lower-middle income
Sudan,2015,Lower-middle income
Sudan,2016,Lower-middle income
Suriname,2015,Upper-middle income
Suriname,2016,Upper-middle income
Swaziland,2015,Lower-middle income
Swaziland,2016,Lower-middle income
Sweden,2015,High income
Sweden,2016,High income
Switzerland,2015,High income
Switzerland,2016,High income
Syria,2015,Lower-middle income
Syria,2016,Lower-middle income
Taiwan,2015,High income
Taiwan,2016,High income
Tajikistan,2015,Lower-middle income
Tajikistan,2016,Lower-middle income
Tanzania,2015,Low income
Tanzania,2016,Low income
Thailand,2015,Upper-middle income
Thailand,2016,Upper-middle income
Timor,2015,Lower-middle income
Timor,2016,Lower-middle income
Togo,2015,Low income
Togo,2016,Low income
Tonga,2015,Lower-middle income
Tonga,2016,Upper-middle income
Trinidad and Tobago,2015,High income
Trinidad and Tobago,2016,High income
Tunisia,2015,Lower-middle income
Tunisia,2016,Lower-middle income
Turkey,2015,Upper-middle income
Turkey,2016,Upper-middle income
Turkmenistan,2015,Upper-middle income
Turkmenistan,2016,Upper-middle income
Turks and Caicos Islands,2015,High income
Turks and Caicos Islands,2016,High income
Tuvalu,2015,Upper-middle income
Tuvalu,2016,Upper-middle income
Uganda,2015,Low income
Uganda,2016,Low income
Ukraine,2015,Lower-middle income
Ukraine,2016,Lower-middle income
United Arab Emirates,2015,High income
United Arab Emirates,2016,High income
United Kingdom,2015,High income
United Kingdom,2016,High income
United States,2015,High income
United States,2016,High income
United States Virgin Islands,2015,High income
United States Virgin Islands,2016,High income
Uruguay,2015,High income
Uruguay,2016,High income
Uzbekistan,2015,Lower-middle income
Uzbekistan,2016,Lower-middle income
Vanuatu,2015,Lower-middle income
Vanuatu,2016,Lower-middle income
Venezuela,2015,Upper-middle income
Venezuela,2016,Upper-middle income
Vietnam,2015,Lower-middle income
Vietnam,2016,Lower-middle income
Yemen,2015,Lower-middle income
Yemen,2016,Lower-middle income
Zambia,2015,Lower-middle income
Zambia,2016,Lower-middle income
Zimbabwe,2015,Low income
Zimbabwe,2016,Low income
