Country Name,Year,Dgghe(% of GDP)
Panama,2017,4.385733604
Papua New Guinea,2015,1.450244896
Papua New Guinea,2016,1.830602065
Papua New Guinea,2017,1.862143725
Paraguay,2015,3.160713613
Paraguay,2016,3.151059523
Paraguay,2017,3.025814518
Peru,2015,3.112110123
Peru,2016,3.178311139
Peru,2017,3.164513409
Philippines,2015,1.360683516
Philippines,2016,1.397505961
Philippines,2017,1.418869756
Poland,2015,4.435826838
Poland,2016,4.502308369
Poland,2017,4.511806741
Portugal,2015,5.931303278
Portugal,2016,5.987812579
Portugal,2017,5.942862108
Post-demographic dividend,2015,7.92572288
Post-demographic dividend,2016,8.000009228
Post-demographic dividend,2017,7.957169948
Pre-demographic dividend,2015,1.019776862
Pre-demographic dividend,2016,0.9732032209
Pre-demographic dividend,2017,1.157666549
Puerto Rico,2015,..
Puerto Rico,2016,..
Puerto Rico,2017,..
Qatar,2015,2.659644
Qatar,2016,2.52588708
Qatar,2017,2.105166391
Romania,2015,3.852437437
Romania,2016,3.904276341
Romania,2017,4.053393379
Russian Federation,2015,3.109246306
Russian Federation,2016,2.998686023
Russian Federation,2017,3.051152825
Rwanda,2015,2.168907225
Rwanda,2016,2.29062587
Rwanda,2017,2.256122977
Samoa,2015,4.489281774
Samoa,2016,4.225450009
Samoa,2017,4.08721678
San Marino,2015,5.865813047
San Marino,2016,5.478522927
San Marino,2017,6.012505293
Sao Tome and Principe,2015,1.703443564
Sao Tome and Principe,2016,2.543647215
Sao Tome and Principe,2017,2.841062285
Saudi Arabia,2015,4.107299447
Saudi Arabia,2016,3.893028945
Saudi Arabia,2017,3.351914138
Senegal,2015,1.078207046
Senegal,2016,1.071029622
Senegal,2017,0.8672700264
Serbia,2015,5.087390542
Serbia,2016,4.990773648
Serbia,2017,4.783309996
Seychelles,2015,3.245310858
Seychelles,2016,3.581059724
Seychelles,2017,3.6571417
Sierra Leone,2015,1.640690677
Sierra Leone,2016,1.846389845
Sierra Leone,2017,1.843652874
Singapore,2015,1.979370788
Singapore,2016,2.093729749
Singapore,2017,2.140458114
Sint Maarten (Dutch part),2015,..
Sint Maarten (Dutch part),2016,..
Sint Maarten (Dutch part),2017,..
Slovak Republic,2015,5.39846532
Slovak Republic,2016,5.660374463
Slovak Republic,2017,5.333592743
Slovenia,2015,6.062202528
Slovenia,2016,6.130777299
Slovenia,2017,5.879110843
Small states,2015,3.125146488
Small states,2016,3.198067721
Small states,2017,3.066842533
Solomon Islands,2015,3.501477093
Solomon Islands,2016,3.579710051
Solomon Islands,2017,3.33397314
Somalia,2015,..
Somalia,2016,..
Somalia,2017,..
South Africa,2015,4.391946644
South Africa,2016,4.356840998
South Africa,2017,4.352769628
South Asia,2015,0.8993850121
South Asia,2016,0.9186909315
South Asia,2017,0.9384959995
South Asia (IDA & IBRD),2015,0.8993850121
South Asia (IDA & IBRD),2016,0.9186909315
South Asia (IDA & IBRD),2017,0.9384959995
South Sudan,2015,..
South Sudan,2016,..
South Sudan,2017,0.8240226656
Spain,2015,6.487631053
Spain,2016,6.37787208
Spain,2017,6.265867501
Sri Lanka,2015,1.709942892
Sri Lanka,2016,1.678821258
Sri Lanka,2017,1.636968367
St. Kitts and Nevis,2015,1.982311904
St. Kitts and Nevis,2016,2.297218144
St. Kitts and Nevis,2017,2.347242646
St. Lucia,2015,2.194209024
St. Lucia,2016,2.169121243
St. Lucia,2017,2.225267142
St. Martin (French part),2015,..
St. Martin (French part),2016,..
St. Martin (French part),2017,..
St. Vincent and the Grenadines,2015,2.629384585
St. Vincent and the Grenadines,2016,2.732225321
St. Vincent and the Grenadines,2017,2.887019329
Sub-Saharan Africa,2015,1.831673331
Sub-Saharan Africa,2016,1.798174467
Sub-Saharan Africa,2017,1.873788972
Sub-Saharan Africa (excluding high income),2015,1.830490138
Sub-Saharan Africa (excluding high income),2016,1.79652096
Sub-Saharan Africa (excluding high income),2017,1.872186116
Sub-Saharan Africa (IDA & IBRD countries),2015,1.831673331
Sub-Saharan Africa (IDA & IBRD countries),2016,1.798174467
Sub-Saharan Africa (IDA & IBRD countries),2017,1.873788972
Sudan,2015,2.236813307
Sudan,2016,1.506259106
Sudan,2017,1.142028812
Suriname,2015,3.3882346
Suriname,2016,3.887423873
Suriname,2017,3.648155928
Sweden,2015,9.170202166
Sweden,2016,9.153626114
Sweden,2017,9.222131222
Switzerland,2015,3.616922349
Switzerland,2016,3.630415723
Switzerland,2017,3.764742613
Syrian Arab Republic,2015,..
Syrian Arab Republic,2016,..
Syrian Arab Republic,2017,..
Tajikistan,2015,2.044956759
Tajikistan,2016,2.001431957
Tajikistan,2017,2.096639574
Tanzania,2015,1.25723863
Tanzania,2016,1.610127091
Tanzania,2017,1.576639153
Thailand,2015,2.748705633
Thailand,2016,2.858383209
Thailand,2017,2.851752937
Timor-Leste,2015,2.262886614
Timor-Leste,2016,2.241967432
Timor-Leste,2017,2.561907656
Togo,2015,1.27388062
Togo,2016,1.319964137
Togo,2017,1.094660442
Tonga,2015,2.695308998
Tonga,2016,2.989413589
Tonga,2017,3.074209206
Trinidad and Tobago,2015,3.108925186
Trinidad and Tobago,2016,3.530333191
Trinidad and Tobago,2017,3.71267274
Tunisia,2015,3.995014727
Tunisia,2016,3.962340578
Tunisia,2017,4.131298512
Turkey,2015,3.233578429
Turkey,2016,3.384248912
Turkey,2017,3.276510537
Turkmenistan,2015,1.508213021
Turkmenistan,2016,1.230084989
Turkmenistan,2017,1.54490266
Turks and Caicos Islands,2015,..
Turks and Caicos Islands,2016,..
Turks and Caicos Islands,2017,..
Tuvalu,2015,13.17021251
Tuvalu,2016,13.06122392
Tuvalu,2017,12.45283037
Uganda,2015,1.018855907
Uganda,2016,1.010908559
Uganda,2017,0.9714048356
Ukraine,2015,2.856159769
Ukraine,2016,2.850424126
Ukraine,2017,3.079593182
United Arab Emirates,2015,2.553348802
United Arab Emirates,2016,2.436779253
United Arab Emirates,2017,2.399812825
United Kingdom,2015,7.748258114
United Kingdom,2016,7.768242806
United Kingdom,2017,7.648710907
United States,2015,8.505196124
United States,2016,8.618223667
United States,2017,8.557614684
Upper middle income,2015,3.269964104
Upper middle income,2016,3.216693059
Upper middle income,2017,3.262150234
Uruguay,2015,6.161976978
Uruguay,2016,6.387533247
Uruguay,2017,6.584954262
Uzbekistan,2015,3.037396446
Uzbekistan,2016,2.905896306
Uzbekistan,2017,2.777400054
Vanuatu,2015,2.019430324
Vanuatu,2016,1.98887419
Vanuatu,2017,2.039794624
"Venezuela, RB",2015,1.95590537
"Venezuela, RB",2016,0.7741244975
"Venezuela, RB",2017,0.1882695011
Vietnam,2015,2.363326773
Vietnam,2016,2.68424768
Vietnam,2017,2.689879574
Virgin Islands (U.S.),2015,..
Virgin Islands (U.S.),2016,..
Virgin Islands (U.S.),2017,..
West Bank and Gaza,2015,..
West Bank and Gaza,2016,..
West Bank and Gaza,2017,..
World,2015,5.918302253
World,2016,5.970536894
World,2017,5.893665725
"Yemen, Rep.",2015,0.4311832599
"Yemen, Rep.",2016,..
"Yemen, Rep.",2017,..
Zambia,2015,2.09054146
Zambia,2016,1.714307442
Zambia,2017,1.727027446
Zimbabwe,2015,3.405412659
Zimbabwe,2016,3.560711816
Zimbabwe,2017,3.425180539
