Country Name,Year,Dgghe(%)
Ecuador,2015,10.68843007
Ecuador,2016,10.98594815
Ecuador,2017,11.92279309
"Egypt, Arab Rep.",2015,5.057976767
"Egypt, Arab Rep.",2016,5.057976767
"Egypt, Arab Rep.",2017,5.419923365
El Salvador,2015,20.83221823
El Salvador,2016,20.92486024
El Salvador,2017,19.24423426
Equatorial Guinea,2015,1.331148017
Equatorial Guinea,2016,2.496493421
Equatorial Guinea,2017,2.943397872
Eritrea,2015,1.209610142
Eritrea,2016,2.919503115
Eritrea,2017,2.676733956
Estonia,2015,12.14124262
Estonia,2016,12.42784038
Estonia,2017,12.22489402
Eswatini,2015,8.733417094
Eswatini,2016,7.815975696
Eswatini,2017,10.0201793
Ethiopia,2015,5.572104827
Ethiopia,2016,5.024434254
Ethiopia,2017,4.788336903
Euro area,2015,15.50491985
Euro area,2016,15.76341096
Euro area,2017,15.84668503
Europe & Central Asia,2015,15.02735305
Europe & Central Asia,2016,15.21865422
Europe & Central Asia,2017,15.21746649
Europe & Central Asia (excluding high income),2015,9.132639315
Europe & Central Asia (excluding high income),2016,9.058224242
Europe & Central Asia (excluding high income),2017,9.285223457
Europe & Central Asia (IDA & IBRD countries),2015,9.415764126
Europe & Central Asia (IDA & IBRD countries),2016,9.415096395
Europe & Central Asia (IDA & IBRD countries),2017,9.596726299
European Union,2015,15.27425625
European Union,2016,15.54740119
European Union,2017,15.63622129
Faroe Islands,2015,..
Faroe Islands,2016,..
Faroe Islands,2017,..
Fiji,2015,7.044175267
Fiji,2016,7.66159296
Fiji,2017,7.161913812
Finland,2015,13.20157051
Finland,2016,12.90192008
Finland,2017,13.0393818
Fragile and conflict affected situations,2015,..
Fragile and conflict affected situations,2016,..
Fragile and conflict affected situations,2017,..
France,2015,15.47087431
France,2016,15.59774131
France,2017,15.46813548
French Polynesia,2015,..
French Polynesia,2016,..
French Polynesia,2017,..
Gabon,2015,7.034873962
Gabon,2016,9.202568233
Gabon,2017,9.715089947
"Gambia, The",2015,2.758825012
"Gambia, The",2016,3.060641699
"Gambia, The",2017,3.060641699
Georgia,2015,9.608579427
Georgia,2016,10.32651439
Georgia,2017,9.519025683
Germany,2015,19.51473504
Germany,2016,19.59019601
Germany,2017,19.88083422
Ghana,2015,8.557856828
Ghana,2016,6.537678838
Ghana,2017,6.065584347
Gibraltar,2015,..
Gibraltar,2016,..
Gibraltar,2017,..
Greece,2015,8.680973202
Greece,2016,10.23929566
Greece,2017,10.22667289
Greenland,2015,..
Greenland,2016,..
Greenland,2017,..
Grenada,2015,7.590114325
Grenada,2016,9.039605409
Grenada,2017,8.996701241
Guam,2015,..
Guam,2016,..
Guam,2017,..
Guatemala,2015,18.05442572
Guatemala,2016,18.09842139
Guatemala,2017,17.21218377
Guinea,2015,1.978233457
Guinea,2016,4.113378376
Guinea,2017,4.113378376
Guinea-Bissau,2015,2.780539729
Guinea-Bissau,2016,2.677509189
Guinea-Bissau,2017,3.008771129
Guyana,2015,7.698244601
Guyana,2016,10.0028865
Guyana,2017,8.542327583
Haiti,2015,4.364291951
Haiti,2016,4.981984943
Haiti,2017,5.239011347
Heavily indebted poor countries (HIPC),2015,7.986373542
Heavily indebted poor countries (HIPC),2016,..
Heavily indebted poor countries (HIPC),2017,..
High income,2015,18.21295226
High income,2016,18.56764159
High income,2017,18.62763951
Honduras,2015,11.42764166
Honduras,2016,12.33326271
Honduras,2017,11.71219945
"Hong Kong SAR, China",2015,..
"Hong Kong SAR, China",2016,..
"Hong Kong SAR, China",2017,..
Hungary,2015,9.434528649
Hungary,2016,10.32098085
Hungary,2017,10.07697806
IBRD only,2015,..
IBRD only,2016,..
IBRD only,2017,..
Iceland,2015,15.88371396
Iceland,2016,14.95265365
Iceland,2017,15.73937535
IDA & IBRD total,2015,..
IDA & IBRD total,2016,..
IDA & IBRD total,2017,..
IDA blend,2015,..
IDA blend,2016,..
IDA blend,2017,..
IDA only,2015,7.15167474
IDA only,2016,6.202136519
IDA only,2017,..
IDA total,2015,..
IDA total,2016,..
IDA total,2017,..
India,2015,3.376239911
India,2016,3.393334523
India,2017,3.37504223
Indonesia,2015,6.94014281
Indonesia,2016,8.310750127
Indonesia,2017,8.728535473
"Iran, Islamic Rep.",2015,22.59989381
"Iran, Islamic Rep.",2016,22.93613404
"Iran, Islamic Rep.",2017,22.9359895
Iraq,2015,1.68126449
Iraq,2016,1.681213453
Iraq,2017,4.983551428
Ireland,2015,18.26648265
Ireland,2016,19.46204305
Ireland,2017,20.04306167
Isle of Man,2015,..
Isle of Man,2016,..
Isle of Man,2017,..
Israel,2015,11.72995865
Israel,2016,12.06171662
Israel,2017,11.92770302
Italy,2015,13.33798915
Italy,2016,13.51072937
Italy,2017,13.42173666
Jamaica,2015,12.89557964
Jamaica,2016,12.84635663
Jamaica,2017,13.31564188
Japan,2015,23.20665121
Japan,2016,23.20584655
Japan,2017,23.64429086
Jordan,2015,12.21973747
Jordan,2016,12.21973747
Jordan,2017,12.39200085
Kazakhstan,2015,8.424834162
Kazakhstan,2016,9.587532282
Kazakhstan,2017,7.869395614
Kenya,2015,7.750113308
Kenya,2016,7.952073961
Kenya,2017,7.982115448
Kiribati,2015,6.689655036
Kiribati,2016,6.470172852
Kiribati,2017,6.851601601
"Korea, Dem. People’s Rep.",2015,..
"Korea, Dem. People’s Rep.",2016,..
"Korea, Dem. People’s Rep.",2017,..
"Korea, Rep.",2015,12.5041455
"Korea, Rep.",2016,13.07069212
"Korea, Rep.",2017,13.41530681
Kosovo,2015,..
Kosovo,2016,..
Kosovo,2017,..
Kuwait,2015,6.206344813
Kuwait,2016,6.206344813
Kuwait,2017,8.920291811
Kyrgyz Republic,2015,7.072645426
Kyrgyz Republic,2016,6.318341941
Kyrgyz Republic,2017,6.187602878
Lao PDR,2015,3.761003166
Lao PDR,2016,3.7381161
Lao PDR,2017,4.044601694
Late-demographic dividend,2015,..
Late-demographic dividend,2016,..
Late-demographic dividend,2017,..
Latin America & Caribbean,2015,12.18511299
Latin America & Caribbean,2016,12.03190231
Latin America & Caribbean,2017,12.39981523
Latin America & Caribbean (excluding high income),2015,11.95358028
Latin America & Caribbean (excluding high income),2016,11.68234815
Latin America & Caribbean (excluding high income),2017,12.03279007
Latin America & the Caribbean (IDA & IBRD countries),2015,12.18422971
Latin America & the Caribbean (IDA & IBRD countries),2016,12.02563578
Latin America & the Caribbean (IDA & IBRD countries),2017,12.40177579
Latvia,2015,8.767022938
Latvia,2016,9.385665506
Latvia,2017,9.001868963
Least developed countries: UN classification,2015,6.120023439
Least developed countries: UN classification,2016,5.838102238
Least developed countries: UN classification,2017,..
Lebanon,2015,13.50223422
Lebanon,2016,13.50223422
Lebanon,2017,13.50223422
Lesotho,2015,11.27616018
Lesotho,2016,10.89962423
Lesotho,2017,11.82114407
Liberia,2015,3.252131492
Liberia,2016,3.900367394
Liberia,2017,4.204146937
Libya,2015,..
Libya,2016,..
Libya,2017,..
Liechtenstein,2015,..
Liechtenstein,2016,..
Liechtenstein,2017,..
Lithuania,2015,12.26100251
Lithuania,2016,12.80776262
Lithuania,2017,12.77443171
Low & middle income,2015,..
Low & middle income,2016,..
Low & middle income,2017,..
Low income,2015,..
Low income,2016,..
Low income,2017,..
Lower middle income,2015,5.490093709
Lower middle income,2016,5.626595677
Lower middle income,2017,5.654777166
Luxembourg,2015,11.07046679
Luxembourg,2016,11.06303036
Luxembourg,2017,10.79562753
"Macao SAR, China",2015,..
"Macao SAR, China",2016,..
"Macao SAR, China",2017,..
Madagascar,2015,15.27427882
Madagascar,2016,17.48875678
Madagascar,2017,15.02132118
Malawi,2015,9.675071388
Malawi,2016,9.775461257
Malawi,2017,9.775461257
Malaysia,2015,8.238189667
Malaysia,2016,8.322291821
Malaysia,2017,8.927760273
Maldives,2015,18.49826574
Maldives,2016,20.44279426
Maldives,2017,21.77749574
Mali,2015,4.390320554
Mali,2016,5.430621281
Mali,2017,5.785215273
Malta,2015,14.16935176
Malta,2016,15.77512473
Malta,2017,16.47617668
Marshall Islands,2015,11.57240197
Marshall Islands,2016,12.14958206
Marshall Islands,2017,9.487447143
Mauritania,2015,5.530242994
Mauritania,2016,5.756292865
Mauritania,2017,6.065612286
Mauritius,2015,9.458419681
Mauritius,2016,9.990223497
Mauritius,2017,9.968497604
Mexico,2015,11.17936447
Mexico,2016,10.7507959
Mexico,2017,11.04861051
"Micronesia, Fed. Sts.",2015,5.771915242
"Micronesia, Fed. Sts.",2016,5.51077798
"Micronesia, Fed. Sts.",2017,4.945225269
Middle East & North Africa,2015,..
Middle East & North Africa,2016,..
Middle East & North Africa,2017,..
Middle East & North Africa (excluding high income),2015,..
Middle East & North Africa (excluding high income),2016,..
Middle East & North Africa (excluding high income),2017,..
Middle East & North Africa (IDA & IBRD countries),2015,..
Middle East & North Africa (IDA & IBRD countries),2016,..
Middle East & North Africa (IDA & IBRD countries),2017,..
Middle income,2015,..
Middle income,2016,..
Middle income,2017,..
Moldova,2015,12.21473515
Moldova,2016,12.12291792
Moldova,2017,11.58240363
Monaco,2015,8.093745261
Monaco,2016,6.698020548
Monaco,2017,6.749906391
Mongolia,2015,7.108284533
Mongolia,2016,6.479563564
Mongolia,2017,8.152467757
Montenegro,2015,..
Montenegro,2016,..
Montenegro,2017,..
Morocco,2015,6.854374707
Morocco,2016,7.293355465
Morocco,2017,7.489150017
Mozambique,2015,4.664210975
Mozambique,2016,4.664210975
Mozambique,2017,4.664210975
Myanmar,2015,4.790094122
Myanmar,2016,3.138159215
Myanmar,2017,3.493880481
Namibia,2015,9.645801783
Namibia,2016,10.46828404
Namibia,2017,10.65234095
Nauru,2015,6.79949224
Nauru,2016,7.104253769
Nauru,2017,5.596224219
Nepal,2015,5.145952478
Nepal,2016,5.314559489
Nepal,2017,4.50787805
Netherlands,2015,15.05818218
Netherlands,2016,15.32029957
Netherlands,2017,15.30429572
New Caledonia,2015,..
New Caledonia,2016,..
New Caledonia,2017,..
New Zealand,2015,18.8892737
New Zealand,2016,19.20671165
New Zealand,2017,19.28811669
Nicaragua,2015,17.39912629
Nicaragua,2016,19.60112303
Nicaragua,2017,18.6187014
Niger,2015,4.586000741
Niger,2016,5.685828626
Niger,2017,9.650692344
Nigeria,2015,5.319711566
Nigeria,2016,5.00459969
Nigeria,2017,4.601447657
North America,2015,22.13613505
North America,2016,22.28285138
North America,2017,22.35087727
North Macedonia,2015,12.78399676
North Macedonia,2016,13.05496991
North Macedonia,2017,12.82324195
Northern Mariana Islands,2015,..
Northern Mariana Islands,2016,..
Northern Mariana Islands,2017,..
Norway,2015,17.71437824
Norway,2016,17.6912725
Norway,2017,17.87735671
Not classified,2015,..
Not classified,2016,..
Not classified,2017,..
OECD members,2015,18.16330479
OECD members,2016,18.42344785
OECD members,2017,18.48598332
Oman,2015,7.565734535
Oman,2016,7.565734535
Oman,2017,7.565734535
Other small states,2015,..
Other small states,2016,..
Other small states,2017,..
Pacific island small states,2015,7.61590995
Pacific island small states,2016,8.233116983
Pacific island small states,2017,7.729339845
Pakistan,2015,3.742910922
Pakistan,2016,4.11568135
Pakistan,2017,4.303038493
Palau,2015,10.989061
Palau,2016,16.51217341
Palau,2017,17.38563329
Panama,2015,19.35431212
Panama,2016,21.67553455
Panama,2017,20.08094043
Papua New Guinea,2015,6.022326648
Papua New Guinea,2016,8.040917665
Papua New Guinea,2017,9.154981375
Paraguay,2015,10.85491404
Paraguay,2016,11.22079641
Paraguay,2017,10.47871336
Peru,2015,13.90668154
Peru,2016,15.09686857
Peru,2017,14.89787847
Philippines,2015,7.251354307
Philippines,2016,7.169389725
Philippines,2017,7.126046717
Poland,2015,10.64455733
Poland,2016,10.95276028
Poland,2017,10.94306111
Portugal,2015,12.30547577
Portugal,2016,13.3622691
Portugal,2017,13.01325709
Post-demographic dividend,2015,18.59103006
Post-demographic dividend,2016,18.86778524
Post-demographic dividend,2017,18.9345705
Pre-demographic dividend,2015,..
Pre-demographic dividend,2016,..
Pre-demographic dividend,2017,..
Puerto Rico,2015,..
Puerto Rico,2016,..
Puerto Rico,2017,..
Qatar,2015,6.292983145
Qatar,2016,6.292983145
Qatar,2017,6.292983145
Romania,2015,10.66552699
Romania,2016,11.3043718
Romania,2017,12.05330119
Russian Federation,2015,8.816149831
Russian Federation,2016,8.233945072
Russian Federation,2017,8.783560991
Rwanda,2015,7.914955169
Rwanda,2016,8.882761002
Rwanda,2017,8.882761002
Samoa,2015,11.52781323
Samoa,2016,11.57773361
Samoa,2017,11.57773361
San Marino,2015,11.6137065
San Marino,2016,12.15865016
San Marino,2017,12.15865016
Sao Tome and Principe,2015,4.936800152
Sao Tome and Principe,2016,8.002831042
Sao Tome and Principe,2017,10.76225042
Saudi Arabia,2015,10.06431729
Saudi Arabia,2016,10.06431729
Saudi Arabia,2017,10.06431729
Senegal,2015,4.694809392
Senegal,2016,4.45690155
Senegal,2017,3.888149932
Serbia,2015,11.91802472
Serbia,2016,11.91802472
Serbia,2017,11.91802472
Seychelles,2015,10.03016531
Seychelles,2016,9.50185135
Seychelles,2017,10.13922021
Sierra Leone,2015,7.91080147
Sierra Leone,2016,7.91080296
Sierra Leone,2017,7.91080296
Singapore,2015,11.14984304
Singapore,2016,11.90774217
Singapore,2017,12.56894618
Sint Maarten (Dutch part),2015,..
Sint Maarten (Dutch part),2016,..
Sint Maarten (Dutch part),2017,..
Slovak Republic,2015,11.97252125
Slovak Republic,2016,13.65575045
Slovak Republic,2017,13.2689476
Slovenia,2015,12.70442456
Slovenia,2016,13.52640837
Slovenia,2017,13.61753494
Small states,2015,..
Small states,2016,..
Small states,2017,..
Solomon Islands,2015,7.302601635
Solomon Islands,2016,7.609893382
Solomon Islands,2017,7.165841758
Somalia,2015,..
Somalia,2016,..
Somalia,2017,..
South Africa,2015,13.33857626
South Africa,2016,13.33857626
South Africa,2017,13.33857626
South Asia,2015,3.574666635
South Asia,2016,3.548759284
South Asia,2017,3.54949038
South Asia (IDA & IBRD),2015,3.574666635
South Asia (IDA & IBRD),2016,3.548759284
South Asia (IDA & IBRD),2017,3.54949038
South Sudan,2015,..
South Sudan,2016,..
South Sudan,2017,2.106205188
Spain,2015,14.83733058
Spain,2016,15.1119858
Spain,2017,15.28467387
Sri Lanka,2015,8.401276916
Sri Lanka,2016,8.564838022
Sri Lanka,2017,8.472394943
St. Kitts and Nevis,2015,6.567869335
St. Kitts and Nevis,2016,8.147256821
St. Kitts and Nevis,2017,8.152938634
St. Lucia,2015,8.403231949
St. Lucia,2016,8.523150533
St. Lucia,2017,8.93580988
St. Martin (French part),2015,..
St. Martin (French part),2016,..
St. Martin (French part),2017,..
St. Vincent and the Grenadines,2015,9.153489023
St. Vincent and the Grenadines,2016,9.555900097
St. Vincent and the Grenadines,2017,9.459785372
Sub-Saharan Africa,2015,..
Sub-Saharan Africa,2016,..
Sub-Saharan Africa,2017,..
Sub-Saharan Africa (excluding high income),2015,..
Sub-Saharan Africa (excluding high income),2016,..
Sub-Saharan Africa (excluding high income),2017,..
Sub-Saharan Africa (IDA & IBRD countries),2015,..
Sub-Saharan Africa (IDA & IBRD countries),2016,..
Sub-Saharan Africa (IDA & IBRD countries),2017,..
Sudan,2015,18.28684509
Sudan,2016,13.12147826
Sudan,2017,8.284141868
Suriname,2015,10.52437425
Suriname,2016,15.12628198
Suriname,2017,11.77680939
Sweden,2015,18.47524643
Sweden,2016,18.42257679
Sweden,2017,18.69488358
Switzerland,2015,10.63521579
Switzerland,2016,10.60670167
Switzerland,2017,11.02358699
Syrian Arab Republic,2015,..
Syrian Arab Republic,2016,..
Syrian Arab Republic,2017,..
Tajikistan,2015,6.407301873
Tajikistan,2016,5.139059201
Tajikistan,2017,5.884055421
Tanzania,2015,7.330626994
Tanzania,2016,9.521435201
Tanzania,2017,9.521435201
Thailand,2015,14.79150802
Thailand,2016,15.06272554
Thailand,2017,15.0277853
Timor-Leste,2015,4.505452141
Timor-Leste,2016,3.120927699
Timor-Leste,2017,5.187302828
Togo,2015,4.155584052
Togo,2016,4.259437323
Togo,2017,5.052941665
Tonga,2015,6.844355911
Tonga,2016,7.334131002
Tonga,2017,7.383985817
Trinidad and Tobago,2015,8.309103549
Trinidad and Tobago,2016,9.75824818
Trinidad and Tobago,2017,11.21120453
Tunisia,2015,13.69663775
Tunisia,2016,13.72302324
Tunisia,2017,13.62780184
Turkey,2015,9.673115611
Turkey,2016,9.647566825
Turkey,2017,9.689014405
Turkmenistan,2015,8.711454272
Turkmenistan,2016,8.71367529
Turkmenistan,2017,8.713923395
Turks and Caicos Islands,2015,..
Turks and Caicos Islands,2016,..
Turks and Caicos Islands,2017,..
Tuvalu,2015,10.85964888
Tuvalu,2016,10.00000015
Tuvalu,2017,10.00000015
Uganda,2015,5.135318264
Uganda,2016,5.135318264
Uganda,2017,5.135318264
Ukraine,2015,6.635505706
Ukraine,2016,7.028588653
Ukraine,2017,7.423895597
United Arab Emirates,2015,7.890500873
United Arab Emirates,2016,7.890500873
United Arab Emirates,2017,7.890500873
United Kingdom,2015,18.36110055
United Kingdom,2016,18.76849532
United Kingdom,2017,18.73957217
United States,2015,22.30372727
United States,2016,22.45638222
United States,2017,22.54920453
Upper middle income,2015,..
Upper middle income,2016,..
Upper middle income,2017,..
Uruguay,2015,19.04895306
Uruguay,2016,19.26542372
Uruguay,2017,19.7754994
Uzbekistan,2015,10.14601439
Uzbekistan,2016,10.0850746
Uzbekistan,2017,10.17032042
Vanuatu,2015,4.868529737
Vanuatu,2016,5.387936532
Vanuatu,2017,5.301577598
"Venezuela, RB",2015,4.281397536
"Venezuela, RB",2016,1.621206664
"Venezuela, RB",2017,1.370837167
Vietnam,2015,8.082409948
Vietnam,2016,9.44993645
Vietnam,2017,9.475599229
Virgin Islands (U.S.),2015,..
Virgin Islands (U.S.),2016,..
Virgin Islands (U.S.),2017,..
West Bank and Gaza,2015,..
West Bank and Gaza,2016,..
West Bank and Gaza,2017,..
World,2015,16.43451357
World,2016,..
World,2017,..
"Yemen, Rep.",2015,2.228724211
"Yemen, Rep.",2016,..
"Yemen, Rep.",2017,..
Zambia,2015,7.437492907
Zambia,2016,7.131743431
Zambia,2017,6.856653839
Zimbabwe,2015,16.59317762
Zimbabwe,2016,15.23425281
Zimbabwe,2017,15.23425281
