Country Name,2015 People using at least basic sanitation services,2016 People using at least basic sanitation services,2017 People using at least basic sanitation services
Dominican Republic,83.1847591538341,83.5395612297675,83.8932063216788
Early-demographic dividend,62.8504221779582,64.4333366653044,65.6099591402245
East Asia & Pacific,81.4519231729434,82.7536963097616,84.0265108132884
East Asia & Pacific (excluding high income),79.4653021567555,80.9190426751073,82.3377196871954
East Asia & Pacific (IDA & IBRD countries),79.438581919174,80.9013146293383,82.3284158799998
Ecuador,86.0997974620878,87.1765533612846,87.9887160353163
"Egypt, Arab Rep.",93.9654345873778,94.0783437254313,94.1930218824391
El Salvador,87.0104166879178,87.2276360584094,87.4335666680769
Equatorial Guinea,66.1825225644556,66.2485414893345,66.3127900215243
Eritrea,11.8379126212256,11.939966186728,..
Estonia,99.1327756133561,99.1397369617655,99.1465538894863
Eswatini,57.8718784839098,58.368189143154,58.3519832910244
Ethiopia,6.86379405974333,7.09074000050604,7.31633289543501
Euro area,98.8383467023676,98.8502735336794,98.8594240547044
Europe & Central Asia,96.3376694375627,96.4798925892269,96.6071743050265
Europe & Central Asia (excluding high income),93.3700682711393,93.6165078004529,93.8600241087177
Europe & Central Asia (IDA & IBRD countries),93.7629518439988,94.0420789608841,94.2953796277167
European Union,97.8043965607985,97.9139739157026,97.996754540911
Faroe Islands,90.8834757181354,..,..
Fiji,94.5445673121753,95.0692288909527,95.0721750698175
Finland,99.4478672034731,99.4478561836171,99.4478441199711
Fragile and conflict affected situations,43.7076096301287,44.0347413104129,44.5725092152121
France,98.6515991661262,98.6508061199955,98.6500115526393
French Polynesia,96.8546138296275,96.8546138296275,96.8546138296275
Gabon,47.3167656262285,47.3663716700662,47.413276717843
"Gambia, The",39.0134164063317,39.1229971328028,39.2311499837464
Georgia,90.4906429827168,90.2543744187345,90.0247909681897
Germany,99.2248535093157,99.2249259262689,99.2250375649813
Ghana,17.1461367343964,17.8059901318619,18.4721656151096
Gibraltar,100,100,100
Greece,98.9759716306276,98.9795992833896,98.9831907753857
Greenland,99.5972367092825,99.5972348340332,99.5972321483041
Grenada,91.4938921337197,91.4938921337197,91.4938921337197
Guam,90.3507655120101,90.3507655120101,..
Guatemala,64.9770448062078,65.0227453574811,65.0631350754195
Guinea,21.060949294468,21.8889933728507,22.7192698908919
Guinea-Bissau,19.8215788122679,20.4195511071678,20.5380030020396
Guyana,85.3464871256135,85.7587234586326,85.7631015015164
Haiti,32.5017275825736,33.5993507553404,34.7044542884675
Heavily indebted poor countries (HIPC),25.4238106349334,26.0203132431696,26.6211620549945
High income,99.2985742697229,99.3376997631332,99.3617648699772
Honduras,79.2190115354285,80.2424818233943,81.2512629376572
"Hong Kong SAR, China",96.4882653061225,96.4622448979592,96.4362244897959
Hungary,97.99545474915,97.9931815860667,97.9908733908907
IBRD only,75.4229616619799,76.9302990107428,78.2636156185341
Iceland,98.7831146462079,98.7826611990927,98.7821682352681
IDA & IBRD total,66.4246580139971,67.6358498066613,68.6980644691013
IDA blend,48.0498817234743,48.8464287901724,49.6593983280677
IDA only,34.5832119442635,35.1933653764688,35.8703217087153
IDA total,39.1491819087787,39.8240414661974,40.57151091904
India,54.3451491757589,56.9416551432333,59.5434482675674
Indonesia,69.3764129189069,71.2531326869839,73.1283873746602
"Iran, Islamic Rep.",88.2876192509626,88.3552590553333,88.4218671015005
Iraq,90.741589782041,92.4269066518848,94.1210224523593
Ireland,91.0472790401245,91.1466427754968,91.2451813113421
Isle of Man,..,..,..
Israel,100.000001513666,99.9999992549263,100.000001466914
Italy,98.7713458271166,98.7718901962979,98.7724326744163
Jamaica,86.9451823863464,87.3237950393943,87.3126001706103
Japan,99.9101270767951,99.9024173222271,99.8947075676591
Jordan,97.527294977463,97.4334805775801,97.3397541392762
Kazakhstan,97.7378270756049,97.8058174106679,97.8737016782929
Kenya,29.5466323677871,29.296784785685,29.0511150631439
Kiribati,45.3579064214333,46.5896811374499,47.802889981692
"Korea, Dem. People’s Rep.",81.6658115877632,82.4086071508094,83.1584104616353
"Korea, Rep.",100,100,100
Kosovo,..,..,..
Kuwait,100,100,100
Kyrgyz Republic,96.5402683099199,96.5211617957052,96.5070669553914
Lao PDR,69.3861205370295,71.9300483856743,74.4594104323402
Late-demographic dividend,84.7981290960779,86.0279456295199,87.2047137061494
Latin America & Caribbean,85.8107122451016,86.5115143706552,86.6384236016568
Latin America & Caribbean (excluding high income),85.2574784608126,85.9768167100369,86.0626802008562
Latin America & the Caribbean (IDA & IBRD countries),85.6024812484105,86.3173796140855,86.4383594960996
Latvia,91.4168579942281,91.7819620526322,92.1482658643503
Least developed countries: UN classification,32.7739121011985,33.4796214380622,34.2378807915011
Lebanon,95.3593653846154,96.9208429487181,98.4766391682531
Lesotho,39.0626452969588,40.7734163335752,42.7543201871743
Liberia,16.6880877382428,16.8328071853236,16.9735176994451
Libya,99.8631578947368,100,100
Liechtenstein,99.95,99.95,99.95
Lithuania,92.2672096620697,92.8107230107065,93.3536351507625
Low & middle income,66.2123036309273,67.4287665729706,68.4957062667958
Low income,29.3336791619911,29.7950733097714,30.4072088950786
Lower middle income,57.5460996022973,59.2619470875745,60.9364444985955
Luxembourg,97.6107391206891,97.6055422480587,97.6005402087149
"Macao SAR, China",..,..,..
Madagascar,9.73927883465214,10.1206395331252,10.5067603950822
Malawi,25.582314515932,25.9040021945149,26.2261482497524
Malaysia,99.5574356816453,99.5648534335206,99.572036160354
Maldives,99.0490102965694,99.210698916376,99.3729980716322
Mali,36.183794699365,37.7474511125357,39.3354203409472
Malta,99.9617580414996,99.9588756324251,99.9559941115273
Marshall Islands,82.969864826935,83.2329466736467,83.4940573832472
Mauritania,43.4998687128447,45.9304323855632,48.4354897706697
Mauritius,95.5060839512255,95.5053785406077,95.5048377122011
Mexico,89.417275215861,90.3035709697183,91.183055555117
"Micronesia, Fed. Sts.",88.3093315478836,88.3093315478836,88.3093315478836
Middle East & North Africa,90.0956217881752,90.410019669128,90.6428613120574
Middle East & North Africa (excluding high income),88.4662846532477,88.8140157942109,89.0705444768549
Middle East & North Africa (IDA & IBRD countries),88.3659767356227,88.7171810761105,88.9763407033069
Middle income,70.598292419384,71.9680279616159,73.1391852862662
Moldova,75.3524478054135,75.8282745084956,76.3081992337757
Monaco,100,100,100
Mongolia,57.9807831435327,58.4630159660064,58.4793927670345
Montenegro,97.7345806146316,97.7542037986249,97.773878293269
Morocco,87.5445337400597,88.4194643782585,88.5036440702561
Mozambique,26.8693541009156,28.1089576514254,29.3602946452755
Myanmar,65.0881885509619,64.7089808552414,64.332684035717
Namibia,33.9028599771667,34.2134144549493,34.503736926834
Nauru,65.5955264252888,65.5955264252888,65.5955264252888
Nepal,55.7405171903952,58.8717272027491,62.0535954492586
Netherlands,97.7353051971191,97.7242169327987,97.7136100615755
New Caledonia,100,100,100
New Zealand,100,99.9999986904668,100
Nicaragua,73.3925363894438,74.3884311436213,74.4347308149472
Niger,12.751414615261,13.162346171839,13.5666596878817
Nigeria,37.6785349032347,38.4146316988658,39.1717540974593
North America,99.9088582695959,99.9049397825913,99.9009159486167
North Macedonia,98.1391512705549,98.7025714971334,99.1247422137253
Northern Mariana Islands,78.4823764376719,78.6936896436349,78.905002849598
Norway,98.0567269907103,98.0555415844725,98.0543915037278
Not classified,..,..,..
OECD members,98.3216572181632,98.4307236781334,98.5255718860053
Oman,100,99.9999972412006,99.9999986835267
Other small states,65.6882151380091,65.6872943784662,66.0871142428208
Pacific island small states,69.1918761787383,69.1548543079177,68.9121247472095
Pakistan,56.6379614003784,58.2573676043121,59.869495032297
Palau,99.999997760066,100.000004435076,99.9999978055265
Panama,81.1413614629431,82.2291176194899,83.3154589674842
Papua New Guinea,14.1310818095844,13.5381230826238,12.9492669676698
Paraguay,87.6663465546891,88.7290634925577,89.7836914311379
Peru,73.3439761149837,73.8470364098305,74.3429565941762
Philippines,74.2639813481076,75.3953348862819,76.5335020674233
Poland,97.6921050018281,98.3831010633765,98.7966102160572
Portugal,99.4420660056047,99.5667060897485,99.6089231422543
Post-demographic dividend,99.1700706506781,99.1780662979015,99.1812852939218
Pre-demographic dividend,32.1238651431342,32.7974008378108,33.5416947529149
Puerto Rico,97.1572714780711,97.1639120933803,97.1705527086894
Qatar,100,100,100
Romania,82.809636148781,83.5572009536663,84.3099243448145
Russian Federation,89.6429086909802,90.0628815099411,90.4822246231903
Rwanda,64.2398841434924,65.4122884836049,66.5738423996839
Samoa,98.0668879255986,98.1171332117969,98.1679393435428
San Marino,100,100,100
Sao Tome and Principe,41.3628413002751,42.8296504184777,42.9749442799422
Saudi Arabia,99.8007858436804,99.9077610577995,100
Senegal,50.085937788062,50.7833189360468,51.4739895210374
Serbia,97.6353585803324,97.6006985064387,97.5671990309622
Seychelles,100,100,100
Sierra Leone,14.9376369824469,15.2930421846313,15.6526615756648
Singapore,100,100,100
Sint Maarten (Dutch part),98.7810265603988,98.7810265603988,98.7810265603988
Slovak Republic,97.9258750045635,97.9317039501028,97.938130390532
Slovenia,99.1093289713978,99.1094420530143,99.1095679283407
Small states,70.1720253852533,70.2036899733105,70.4518971068502
Solomon Islands,31.8407686798114,32.7539413553691,33.5283536272378
Somalia,35.697536564432,37.0052293737066,38.3363802636407
South Africa,73.8920840280527,74.8248775544321,75.7470984022963
South Asia,54.0889024881901,56.4119848997239,58.7346847787209
South Asia (IDA & IBRD),54.0889024881901,56.4119848997239,58.7346847787209
South Sudan,9.59567927573564,10.4367698406838,11.3216843085857
Spain,99.9043346754355,99.9042864325663,99.9042308892552
Sri Lanka,94.4311024636432,95.1070300240266,95.7817263595986
St. Kitts and Nevis,..,..,..
St. Lucia,88.3654865403902,88.3599106861634,88.352908609115
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,87.1843449007354,87.1843449007354,87.1843449007354
Sub-Saharan Africa,29.7743438083153,30.308336257601,30.8885983360163
Sub-Saharan Africa (excluding high income),29.7677528490321,30.3018828225307,30.8822417782711
Sub-Saharan Africa (IDA & IBRD countries),29.7743438083153,30.308336257601,30.8885983360162
Sudan,35.0682358309602,36.4856259137097,36.5750324901267
Suriname,83.826232917912,84.1405219271688,84.4575831711356
Sweden,99.3002378960326,99.2978635153929,99.2955203776241
Switzerland,99.8909732281809,99.8903626469298,99.8903735152104
Syrian Arab Republic,91.5617182338678,91.3960320441301,91.2228713963244
Tajikistan,96.127462106441,96.5756699575137,97.0230622220689
Tanzania,26.8694842719888,28.3903801030958,29.9134390163845
Thailand,97.9553076440954,98.3964459318312,98.7507346105258
Timor-Leste,51.3219327340004,52.4205663360907,53.5190078259669
Togo,15.2968790181638,15.7123050848875,16.1321037019284
Tonga,93.449624426674,93.4474485190954,93.4452709131028
Trinidad and Tobago,93.3989059531058,93.3989059531058,93.3989059531058
Tunisia,90.2960816312422,90.8801279611371,90.9213974244787
Turkey,97.1943574616643,97.2464434502612,97.2972339627788
Turkmenistan,97.8479008662375,98.2720354859026,98.6991984721935
Turks and Caicos Islands,87.9886363636364,87.9886363636364,87.9886363636364
Tuvalu,84.1402166598961,84.1088305981013,84.07847367017
Uganda,18.4246365702774,18.4512325874185,18.4723181554851
Ukraine,96.2173303398512,96.2208611217562,96.2243559906192
United Arab Emirates,98.577782471415,98.5818956075565,98.586008743698
United Kingdom,99.1125589445616,99.11142062993,99.1102954789708
United States,99.9696072219909,99.9698121431811,99.9700187653163
Upper middle income,85.1694251371574,86.2474282516855,87.1766463335192
Uruguay,96.2047989389066,96.4011804189695,96.59619233959
Uzbekistan,100,100,100
Vanuatu,38.1297413145,36.0880241479361,34.06705759659
"Venezuela, RB",93.9350190169228,93.9350190169228,93.9350190169228
Vietnam,80.0803118689905,81.8557036274928,83.5150494720583
Virgin Islands (U.S.),99.3440167865736,99.3712775309951,99.3712775309951
West Bank and Gaza,96.9160570352754,96.9275988007193,96.9390069116479
World,71.4915006032612,72.4896809894742,73.3933689651633
"Yemen, Rep.",58.4952122830077,58.7729838232208,59.0530031159991
Zambia,25.9782578335857,26.0864909502766,26.370118490977
Zimbabwe,37.5681068462837,36.8917311690778,36.2213975596494
